index;time;month;year;day;Ciego_de_Avila;Mayabeque;Isla_de_la_Juventud;Sancti_Spiritus;Ciudad_de_la_Habana;Holguin;Santiago_de_Cuba;Cienfuegos;Matanzas;Camaguey;CUB;Granma;Las_Tunas;La_Habana;Guantanamo;Villa_Clara;Pinar_del_Rio
0;-17883;1;1901;15;1.4731304506538886e+35;113.98414358898938;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;102.41141602977643;90.08928846736663;108.7587902560802;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;68.03065236962199;52.16112697778453;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
1;-17852;2;1901;15;1.4731304506538886e+35;21.864511414936523;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;17.088999953124503;13.056881343024555;13.36877600804152;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;10.140704769351014;10.164269495542804;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
2;-17824;3;1901;15;1.4731304506538886e+35;19.519571041515448;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;48.67132993949899;54.026239076075505;25.88873252926565;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;38.65127867498933;31.42707826082292;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
3;-17793;4;1901;15;1.4731304506538886e+35;16.589135992839033;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;40.55581137960164;45.208710727921726;22.267647245311288;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;32.531435216569555;26.914357463056486;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
4;-17763;5;1901;15;1.4731304506538886e+35;430.4757337609247;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;220.852060435465;255.45805302615713;327.26436440289103;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;195.406689316761;184.2778720613141;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
5;-17732;6;1901;15;1.4731304506538886e+35;244.21819927411423;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;374.78443726930647;484.9060062190679;328.1056174351499;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;514.6700365871568;456.61753456566436;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
6;-17702;7;1901;15;1.4731304506538886e+35;462.4422272412947;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;136.2771213490213;217.65173801511196;446.0073179883587;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;306.523695136499;249.91795384186577;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
7;-17671;8;1901;15;1.4731304506538886e+35;274.61800907542573;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;73.16237877177521;95.77219204683725;248.80200339844916;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;103.84973860149914;101.40590751385827;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
8;-17640;9;1901;15;1.4731304506538886e+35;223.4762346934448;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;216.19236314260786;289.35242320823704;271.3545629503079;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;276.94437271909084;239.7584985321984;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
9;-17610;10;1901;15;1.4731304506538886e+35;109.60013794753411;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;220.3063934250335;282.84202901082705;142.41023008225073;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;191.60049399464015;179.4770967494384;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
10;-17579;11;1901;15;1.4731304506538886e+35;17.65666296165632;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;32.710552877328425;27.475285408205536;12.367227690311214;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;13.247408384987063;11.917856623711339;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
11;-17549;12;1901;15;1.4731304506538886e+35;15.800352062853946;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;46.05920255014794;36.39246498503787;18.485115747212234;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;38.36208274452481;26.11683199902129;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
12;-17518;1;1902;15;1.4731304506538886e+35;91.00889454479197;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;36.1457654039342;27.730062941135255;84.01382826947102;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;30.306049102239857;24.458858438449226;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
13;-17487;2;1902;15;1.4731304506538886e+35;30.965395762772665;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;34.811938552481884;29.69139492192864;19.966275660894524;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;22.937577559287597;21.537661964630157;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
14;-17459;3;1902;15;1.4731304506538886e+35;39.968654805165386;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;87.35913489139627;108.01919021955551;29.977729069389706;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;54.511057685904845;33.61937269763093;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
15;-17428;4;1902;15;1.4731304506538886e+35;45.389466102883304;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;88.43968214949969;106.2228589901274;70.89861616538515;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;100.15225064691809;77.49731079194976;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
16;-17398;5;1902;15;1.4731304506538886e+35;17.361884142834935;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;225.81037116522248;313.96001140281857;21.064055611202622;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;176.75785228479117;112.4044362179274;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
17;-17367;6;1902;15;1.4731304506538886e+35;418.1449643132541;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;240.04741637543913;316.90177247846975;403.4213992815033;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;369.74121810467415;335.4370788449485;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
18;-17337;7;1902;15;1.4731304506538886e+35;112.17406394815862;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;45.913395373456666;71.59036281382339;83.10794650378625;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;56.44375515852595;38.34894934968726;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
19;-17306;8;1902;15;1.4731304506538886e+35;179.03829207969363;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;65.05736383426765;84.42374740402086;179.1091159086887;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;96.08925162681474;95.21295607666737;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
20;-17275;9;1902;15;1.4731304506538886e+35;175.71932707365178;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;64.39599200551186;71.62373610506398;152.29929920332341;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;62.477499350188296;66.37354691887577;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
21;-17245;10;1902;15;1.4731304506538886e+35;68.31853191762364;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;117.15404062802834;146.24939656471705;77.45244645022892;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;88.76578650594637;85.53053997784049;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
22;-17214;11;1902;15;1.4731304506538886e+35;95.13104665420407;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;88.69703226999;70.63929159816318;71.62483905778463;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;57.859663899816546;61.49311576048857;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
23;-17184;12;1902;15;1.4731304506538886e+35;10.370694624612304;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;90.01234453649988;70.74095601917686;10.880128643568904;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;41.632383550320384;38.27886118994861;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
24;-17153;1;1903;15;1.4731304506538886e+35;37.9569646175958;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;49.0041170989921;31.678301594285585;41.584590172359235;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;36.06205334565103;31.353069085582064;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
25;-17122;2;1903;15;1.4731304506538886e+35;46.27697647560922;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;26.108285940322446;20.594941821158738;27.645658931195875;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;17.665975936680763;17.401901604206834;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
26;-17094;3;1903;15;1.4731304506538886e+35;147.84550168055665;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;34.53973982825684;33.24758047990516;113.7727742663882;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;26.201072766830094;25.61920939729796;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
27;-17063;4;1903;15;1.4731304506538886e+35;13.409088631356358;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;87.20736419756786;118.94049954060291;15.387832838361694;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;66.83341315742672;36.2222268175747;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
28;-17033;5;1903;15;1.4731304506538886e+35;134.81708652398106;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;235.0483056144537;315.01180877889493;221.66464628513125;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;347.8471464023607;305.6409724862729;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
29;-17002;6;1903;15;1.4731304506538886e+35;230.47063705065844;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;114.54665360952997;126.6668024300662;179.82715907792368;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;127.04210735364379;131.20710594867012;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
30;-16972;7;1903;15;1.4731304506538886e+35;237.66461403719597;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;28.264751626293457;38.98974684806219;166.14046898898778;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;34.8058523286788;30.981753675166466;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
31;-16941;8;1903;15;1.4731304506538886e+35;228.72751979766613;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;229.46019023992406;354.69901637834977;225.1148086671131;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;267.72151645678866;188.35418978103718;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
32;-16910;9;1903;15;1.4731304506538886e+35;137.60794830853376;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;117.9434307981066;124.14658191698565;154.7870918877588;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;126.76883652082276;140.51695281092896;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
33;-16880;10;1903;15;1.4731304506538886e+35;92.42840861408108;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;69.10596496429018;87.47980066442364;90.6374196920484;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;49.11542786572606;45.275926728160286;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
34;-16849;11;1903;15;1.4731304506538886e+35;118.86822417975777;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;100.37856512968717;90.12348552347785;80.90767454818747;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;56.96637920150212;54.35241751890753;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
35;-16819;12;1903;15;1.4731304506538886e+35;39.63838508416159;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;72.6027853942381;61.22406842514545;27.728487106572103;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;37.65213782370618;27.952834141957254;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
36;-16788;1;1904;15;1.4731304506538886e+35;26.23842405846286;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;46.39805281689651;39.7728340274183;20.17737317680701;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;17.92243509336302;15.133080199612971;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
37;-16757;2;1904;15;1.4731304506538886e+35;23.333258738850237;1.4399253518800004e+36;1.900166762823786e+33;9.905020133989249e+34;46.10293005490929;46.96987543918106;14.265769208655156;7.720974749012776e+33;1.2654521633146852e+35;1.0293081491820497e+35;28.305828917091667;20.908173699555192;8.095082121186434e+35;9.140982379877404e+34;2.2239102411508496e+35;3.1872953589288027e+34
