index;time;month;year;day;Trujillo_Alto;Isabela;Morovis;Vega_Baja;Las_Marias;Maunabo;Rio_Grande;Vega_Alta;Ponce;Cabo_Rojo;Moca;Penuelas;Coamo;Las_Piedras;Luquillo;Gurabo;Comerio;Caguas;Carolina;San_Sebastian;Camuy;Naranjito;Guaynabo;Hatillo;Aguas_Buenas;Rincon;PRI;Bayamon;Hormigueros;Culebra;Adjuntas;Guayanilla;Dorado;Anasco;Juncos;Barranquitas;Arecibo;Vieques;Arroyo;Lares;Loiza;Ceiba;Sabana_Grande;San_German;Catano;Toa_Baja;Florida;Ciales;Cayey;Manati;Fajardo;Quebradillas;Patillas;Aguadilla;Cidra;Aibonito;Santa_Isabel;Canovanas;Barceloneta;San_Juan;Guanica;Guayama;Corozal;Jayuya;Orocovis;San_Lorenzo;Yauco;Mayaguez;Utuado;Salinas;Maricao;Yabucoa;Naguabo;Aguada;Juana_Diaz;Humacao;Villalba;Lajas;Toa_Alta
0;-17883;1;1901;15;215.41091029200965;94.73275327518068;204.60000000000002;204.60000000000002;96.53025072984427;236.21938897873102;227.5;204.60000000000002;116.98695318420654;78.07397631751584;70.4;115.73493564328643;204.60000000000002;227.5;227.5;222.48771739977948;204.60000000000002;204.65450813749538;225.37988316032417;101.07719853721554;113.7;204.60000000000002;204.60000000000002;113.7;204.60000000000002;70.4;2.4943926438693767e+29;204.60000000000002;70.4;307.3;113.7;117.42800864365732;204.60000000000002;70.4;227.5;204.60000000000002;113.7;1.6350911734416008e+31;204.81168054828305;113.7;227.5;227.5;113.7;77.33712509830015;204.60000000000002;204.60000000000002;113.7;143.20307087982303;204.60000000000002;167.34706279494188;227.5;113.7;222.54635946777486;73.70474146394857;204.60000000000002;204.60000000000002;204.8283321325623;227.5;113.7;204.77812350583653;127.29787639137024;204.79640627058978;204.60000000000002;113.7;195.52017468569187;222.27073472311895;115.16384583436502;77.61701064123042;113.7;204.7640551636107;107.93508668617322;227.25256010007502;227.5;70.4;162.79884006874371;227.5;183.96353609546847;88.49303696779239;204.60000000000002
1;-17852;2;1901;15;45.910226636928634;16.534638811909662;42.7;42.7;17.591576943223625;54.3572224871848;49.5;42.7;24.625351213015232;16.47632384372389;12.100000000000001;23.32061714405638;42.7;49.5;49.5;48.011636607794784;42.7;42.7161858224877;48.87044565459408;18.547171055165393;21.200000000000003;42.7;42.7;21.200000000000003;42.7;12.100000000000001;2.4943926438693767e+29;42.7;12.100000000000001;64.2;21.200000000000003;25.084977428653424;42.7;12.100000000000001;49.5;42.7;21.200000000000003;1.6350911734416008e+31;52.119784398595314;21.200000000000003;49.5;49.5;21.200000000000003;13.557917745832135;42.7;42.7;21.200000000000003;28.178174080486194;42.7;33.88879923092685;49.5;21.200000000000003;51.48460363779709;12.290005669385133;42.7;42.7;52.860779899022546;49.5;21.200000000000003;42.752892569418705;35.3704185552174;51.44007904124488;42.7;21.200000000000003;40.552406553821505;47.94720507062047;22.72548144844353;12.243194655579972;21.200000000000003;50.00045478067486;19.988436231967125;49.426524396528826;49.5;12.100000000000001;34.60609730676181;49.5;37.81898818539683;19.784745669948826;42.7
2;-17824;3;1901;15;114.70770742064782;147.73986406856883;132.6;132.6;155.4382958951821;97.68516798691566;94.7;132.6;157.16957022369022;140.52302679030143;145.3;159.04759653507037;132.6;94.7;94.7;102.99543714184964;132.6;132.50978784231123;98.20883966042422;157.20246964030534;162.10000000000002;132.6;132.6;162.10000000000002;132.6;145.3;2.4943926438693767e+29;132.6;145.3;116.60000000000001;162.10000000000002;156.50798703451403;132.6;145.3;94.7;132.6;162.10000000000002;1.6350911734416008e+31;128.2076286231269;162.10000000000002;94.7;94.7;162.10000000000002;147.99154045384395;132.6;132.6;162.10000000000002;152.52529602910036;132.6;144.68978710175156;94.7;162.10000000000002;121.83983043007969;141.3573823602585;132.6;132.6;127.86210824933221;94.7;162.10000000000002;132.30520170868104;141.70318541294466;128.52456988526222;132.6;162.10000000000002;135.54669798429143;103.35454820933593;159.9042312484525;134.01626114029852;162.10000000000002;129.19585535507858;159.86326688978548;95.10951843699378;94.7;145.3;144.54668800991612;94.7;139.29720225724623;142.15897542292518;132.6
3;-17793;4;1901;15;98.15300618879428;112.70360263069809;88.9;88.9;102.4982650031196;113.12110750516887;108.5;88.9;101.60800985595652;96.17387587041807;102.80000000000001;101.87159249615024;88.9;108.5;108.5;104.21001139893791;88.9;88.94665325305279;106.6854021808888;102.44575983213377;102.30000000000001;88.9;88.9;102.30000000000001;88.9;102.80000000000001;2.4943926438693767e+29;88.9;102.80000000000001;129.3;102.30000000000001;101.51515607501952;88.9;102.80000000000001;108.5;88.9;102.30000000000001;1.6350911734416008e+31;104.67020084708653;102.30000000000001;108.5;108.5;102.30000000000001;102.7198946293499;88.9;88.9;102.30000000000001;97.95081243355745;88.9;94.3916321072363;108.5;102.30000000000001;102.66321181693934;110.36629719158654;88.9;88.9;105.91074387589168;108.5;102.30000000000001;89.05245505303039;99.43728918076417;103.53226715893805;88.9;102.30000000000001;90.23850010133916;104.02429696825901;101.99182192960738;97.10085270791728;102.30000000000001;101.12210968899498;102.36656943780402;108.28821737823013;108.5;102.80000000000001;96.68553292341787;108.5;91.9421189914271;96.31019176373871;88.9
4;-17763;5;1901;15;231.21137854304743;354.1970141235606;222.10000000000002;222.10000000000002;373.2445085963263;238.31363987793466;241.4;222.10000000000002;387.5859611448891;334.26163836399616;334.20000000000005;391.8955373120562;222.10000000000002;241.4;241.4;237.1756744897705;222.10000000000002;222.14593917264892;239.61317663730378;380.03867772189017;398.90000000000003;222.10000000000002;222.10000000000002;398.90000000000003;222.10000000000002;334.20000000000005;2.4943926438693767e+29;222.10000000000002;334.20000000000005;221.70000000000002;398.90000000000003;386.067801826569;222.10000000000002;334.20000000000005;241.4;222.10000000000002;398.90000000000003;1.6350911734416008e+31;256.8685300554895;398.90000000000003;241.4;241.4;398.90000000000003;344.5656349621252;222.10000000000002;222.10000000000002;398.90000000000003;341.51668942186245;222.10000000000002;294.55675795219236;241.4;398.90000000000003;229.0945090119421;326.98657048012876;222.10000000000002;222.10000000000002;259.6035527733585;241.4;398.90000000000003;222.25012155732077;352.09467810549404;254.35972994437014;222.10000000000002;398.90000000000003;239.7602102922957;236.99280262690812;393.8612885490805;316.32930698362003;398.90000000000003;249.0460606230527;390.2859147481619;241.1914589489715;241.4;334.20000000000005;305.68107055809617;241.4;262.2378087824112;342.7467288875785;222.10000000000002
5;-17732;6;1901;15;277.26056383763677;267.1295593727728;204.70000000000002;204.70000000000002;273.2099061260311;350.38895596731675;358.40000000000003;204.70000000000002;259.5602803260456;257.631917019752;285.40000000000003;261.70847884362433;204.70000000000002;358.40000000000003;358.40000000000003;324.7586097967734;204.70000000000002;205.06584719358224;344.1702201633984;271.0886972182043;265.2;204.70000000000002;204.70000000000002;265.2;204.70000000000002;285.40000000000003;2.4943926438693767e+29;204.70000000000002;285.40000000000003;319.3;265.2;258.803522011409;204.70000000000002;285.40000000000003;358.40000000000003;204.70000000000002;265.2;1.6350911734416008e+31;242.59081814266432;265.2;358.40000000000003;358.40000000000003;265.2;282.1637430257353;204.70000000000002;204.70000000000002;265.2;245.56374270374815;204.70000000000002;229.49430914088032;358.40000000000003;265.2;254.89451182668165;278.6547987368278;204.70000000000002;204.70000000000002;245.5714517286525;358.40000000000003;265.2;205.89552763524344;241.86890682322795;239.85672243556928;204.70000000000002;265.2;210.74322806947902;323.30226755211265;262.6883487263001;259.3672116155618;265.2;234.0658742863101;267.88940528728176;356.7392352568353;358.40000000000003;285.40000000000003;235.5438918016107;358.40000000000003;218.434940222488;252.8788134824269;204.70000000000002
6;-17702;7;1901;15;422.56899235631687;354.44896461742746;380.6;380.6;372.5511681597226;463.2429529765779;469.5;380.6;347.78170820708146;342.4184298248759;388.0;353.34989148117353;380.6;469.5;469.5;450.0418374166112;380.6;380.8116058263466;461.2695027490314;369.86290340524897;362.40000000000003;380.6;380.6;362.40000000000003;380.6;388.0;2.4943926438693767e+29;380.6;388.0;454.90000000000003;362.40000000000003;345.82017208478715;380.6;388.0;469.5;380.6;362.40000000000003;1.6350911734416008e+31;366.25864285382397;362.40000000000003;469.5;469.5;362.40000000000003;383.89860502271404;380.6;380.6;362.40000000000003;368.3071055006907;380.6;373.1412160931567;469.5;362.40000000000003;404.20154703179793;371.70022793346106;380.6;380.6;365.1304980189039;469.5;362.40000000000003;381.29149256195933;301.925233943643;367.2934751675429;380.6;362.40000000000003;378.7820371757931;449.1994898203176;355.88973826295575;334.7602270553678;362.40000000000003;369.48526266537704;365.80835521556503;468.53941453697234;469.5;388.0;366.1179851861624;469.5;376.4681667429871;333.59162073505416;380.6
7;-17671;8;1901;15;118.88559654668265;227.49373350034568;127.10000000000001;127.10000000000001;243.66592988145592;110.18909531989013;109.7;127.10000000000001;237.23909884392276;213.15374552520169;232.20000000000002;242.55687860983085;127.10000000000001;109.7;109.7;113.50845926828981;127.10000000000001;127.05858333657561;111.31091847206812;245.66112637891675;251.20000000000002;127.10000000000001;127.10000000000001;251.20000000000002;127.10000000000001;232.20000000000002;2.4943926438693767e+29;127.10000000000001;232.20000000000002;112.4;251.20000000000002;235.36577381351862;127.10000000000001;232.20000000000002;109.7;127.10000000000001;251.20000000000002;1.6350911734416008e+31;138.2661489219304;251.20000000000002;109.7;109.7;251.20000000000002;235.2440040847045;127.10000000000001;127.10000000000001;251.20000000000002;210.92133007496113;127.10000000000001;177.95907048567346;109.7;251.20000000000002;122.49983559211866;222.1500572728792;127.10000000000001;127.10000000000001;139.14451999266157;109.7;251.20000000000002;126.96465724884038;193.44480922191696;137.4604307736105;127.10000000000001;251.20000000000002;139.4961091474768;113.67332820164764;244.98250742982867;201.26995439472688;251.20000000000002;135.7539098804629;248.67036136344782;109.88801110299978;109.7;232.20000000000002;182.55132047949428;109.7;155.2736542415002;212.0347917755958;127.10000000000001
8;-17640;9;1901;15;336.10802589988026;307.4568500993458;274.5;274.5;326.72554959445444;401.8967745220764;405.0;274.5;339.8019808568021;269.74815116912004;287.5;344.63872230435663;274.5;405.0;405.0;376.4365554878264;274.5;274.8106249756831;392.91811145948924;333.55122182260993;352.5;274.5;274.5;352.5;274.5;287.5;2.4943926438693767e+29;274.5;287.5;387.40000000000003;352.5;338.098113976608;274.5;287.5;405.0;274.5;352.5;1.6350911734416008e+31;309.9035717003386;352.5;405.0;405.0;352.5;297.9136981845152;274.5;274.5;352.5;327.1838335684687;274.5;306.46621674361427;405.0;352.5;321.54981371690945;280.1169225610348;274.5;274.5;312.68854917104545;405.0;352.5;275.51507063369723;299.96925646702243;307.34894875613946;274.5;352.5;282.2912692466011;375.2000384876428;346.8449324082953;261.03762764882185;352.5;301.93822611388475;343.84597308547944;403.5899167275016;405.0;287.5;311.2047722480771;405.0;292.2078568157697;279.1968411497678;274.5
9;-17610;10;1901;15;227.90529127955622;283.2200007664817;196.70000000000002;196.70000000000002;291.4617326013176;263.1373071171656;262.8;196.70000000000002;304.34417740721733;242.72966994064168;252.9;309.0886649307041;196.70000000000002;262.8;262.8;248.33223231988754;196.70000000000002;196.8573357156525;256.6803614365689;298.1718934533042;316.8;196.70000000000002;196.70000000000002;316.8;196.70000000000002;252.9;2.4943926438693767e+29;196.70000000000002;252.9;262.0;316.8;302.6728093503512;196.70000000000002;252.9;262.8;196.70000000000002;316.8;1.6350911734416008e+31;232.84445361932922;316.8;262.8;262.8;316.8;263.137466369085;196.70000000000002;196.70000000000002;316.8;277.81959502016787;196.70000000000002;245.9197773193343;262.8;316.8;224.4741763670687;253.61930717695796;196.70000000000002;196.70000000000002;235.6877116350135;262.8;316.8;197.21414688802597;265.27120525375494;230.23637070320365;196.70000000000002;316.8;208.69655687842035;247.70591987764897;311.25279473293267;235.08658484585197;316.8;224.71241918652208;308.29242584864824;262.0857739133169;262.8;252.9;253.3831340116041;262.8;223.96555902017866;251.38260218483404;196.70000000000002
