index;time;month;year;day;DMA;Saint_Paul;Saint_Patrick;Saint_John;Saint_Peter;Saint_David;Saint_George;Saint_Andrew;Saint_Joseph;Saint_Mark;Saint_Luke
0;-17883;1;1901;15;293.26849702229634;301.2;301.2;275.8;285.0331472815597;300.4004027328358;301.2;280.2405009238992;301.1603520528749;301.2;301.2
1;-17852;2;1901;15;169.01830813970435;176.70000000000002;176.70000000000002;152.1;161.04233949316406;175.92558689873078;176.70000000000002;156.40064262708344;176.66160080711504;176.70000000000002;176.70000000000002
2;-17824;3;1901;15;183.87141796661217;187.4;187.4;176.10000000000002;180.2076600110876;187.04427365673405;187.4;178.07549844252208;187.38236134635773;187.4;187.4
3;-17793;4;1901;15;223.53349298078012;226.5;226.5;217.0;220.4533424871975;226.20093802999764;226.5;218.6608172746867;226.48517104339808;226.5;226.5
4;-17763;5;1901;15;254.98028197671593;253.70000000000002;253.70000000000002;257.8;256.3096100844727;253.82906885021154;253.70000000000002;257.08322622881946;253.70639986548085;253.70000000000002;253.70000000000002
5;-17732;6;1901;15;277.899244469632;276.90000000000003;276.90000000000003;280.1;278.93676884641775;277.00073666357974;276.90000000000003;279.54056681273715;276.9049950169607;276.90000000000003;276.90000000000003
6;-17702;7;1901;15;388.81934025810006;389.6;389.6;387.1;388.00877433873626;389.52129948157835;389.6;387.5370571775492;389.5960976429995;389.6;389.6
7;-17671;8;1901;15;293.02981650609627;299.40000000000003;299.40000000000003;279.0;286.41559860408734;298.7578037696792;299.40000000000003;282.5663865688009;299.36815676687587;299.40000000000003;299.40000000000003
8;-17640;9;1901;15;357.09811117407986;354.6;354.6;362.6;359.6919221160443;354.85184165894935;354.6;361.2014170318428;354.61248754240165;354.6;354.6
9;-17610;10;1901;15;398.3580207743001;400.70000000000005;400.70000000000005;393.20000000000005;395.92632301620864;400.46389844473504;400.70000000000005;394.51117153264744;400.6882929289985;400.70000000000005;400.70000000000005
10;-17579;11;1901;15;498.668773610324;498.70000000000005;498.70000000000005;498.6;498.63635097354944;498.69685197926316;498.70000000000005;498.617482287102;498.69984390572;498.70000000000005;498.70000000000005
11;-17549;12;1901;15;348.5305720364643;355.90000000000003;355.90000000000003;332.3;340.8788297576696;355.1570671060995;355.90000000000003;336.42581975606385;355.86316174991526;355.90000000000003;355.90000000000003
12;-17518;1;1902;15;209.23349298078014;212.20000000000002;212.20000000000002;202.70000000000002;206.15334248719753;211.90093802999766;212.20000000000002;204.36081727468672;212.1851710433981;212.20000000000002;212.20000000000002
13;-17487;2;1902;15;96.03198192004405;97.0;97.0;93.9;95.02688018003288;96.90241135715712;97.0;94.44195090016093;96.99516107731938;97.0;97.0
14;-17459;3;1902;15;178.6535887692482;183.4;183.4;168.20000000000002;173.72534797951604;182.92150084799624;183.4;170.8573076394987;183.37627366943696;183.4;183.4
15;-17428;4;1902;15;171.81707366699592;169.60000000000002;169.60000000000002;176.70000000000002;174.11908087798926;169.82350947231757;169.60000000000002;175.4587576157605;169.61108269388146;169.60000000000002;169.60000000000002
16;-17398;5;1902;15;524.7785955051086;537.8000000000001;537.8000000000001;496.1;511.2583559701196;536.4872753527266;537.8000000000001;503.3901137215195;537.7349086852316;537.8000000000001;537.8000000000001
17;-17367;6;1902;15;455.5614206609563;462.40000000000003;462.40000000000003;440.5;448.460863207329;461.71058345862616;462.40000000000003;444.3286208753304;462.3658153526756;462.40000000000003;462.40000000000003
18;-17337;7;1902;15;380.92840662251655;393.70000000000005;393.70000000000005;352.8;367.66754818172404;392.4124595186215;393.70000000000005;359.95025542470376;393.63615743947173;393.70000000000005;393.70000000000005
19;-17306;8;1902;15;276.4769832672161;279.1;279.1;270.7;273.7534817781536;278.8355662581032;279.1;272.1685121165651;279.08688808047833;279.1;279.1
20;-17275;9;1902;15;283.4984889392639;281.5;281.5;287.90000000000003;285.57353769283543;281.7014733271595;281.5;286.7811336254743;281.50999003392127;281.5;281.5
21;-17245;10;1902;15;252.86612925403585;249.4;249.4;260.5;256.46504193601135;249.74943030179224;249.4;258.5594661316819;249.41732646508223;249.4;249.4
22;-17214;11;1902;15;575.8124662510727;592.3000000000001;592.3000000000001;539.5;558.6933140341083;590.6378450509344;592.3000000000001;548.7306475898376;592.2175822201493;592.3000000000001;592.3000000000001
23;-17184;12;1902;15;339.8952914069205;350.20000000000005;350.20000000000005;317.20000000000005;329.1958212713177;349.16115315683396;350.20000000000005;322.9691547436486;350.1484888875934;350.20000000000005;350.20000000000005
24;-17153;1;1903;15;131.181415272268;131.4;131.4;130.70000000000002;130.95445681484617;131.37796385484194;131.4;130.8223760097138;131.39890734003984;131.4;131.4
25;-17122;2;1903;15;149.28519292410823;154.5;154.5;137.8;143.87061258275773;153.97428053694324;154.5;140.7195419460282;154.4739322552366;154.5;154.5
26;-17094;3;1903;15;89.5356583947279;87.10000000000001;87.10000000000001;94.9;92.06462406314311;87.34554561747562;87.10000000000001;93.53638160604673;87.11217535384158;87.10000000000001;87.10000000000001
27;-17063;4;1903;15;518.6489813533251;542.1;542.1;467.0;494.29958113563504;539.735836426613;542.1;480.12919761357585;541.9827731957048;542.1;542.1
28;-17033;5;1903;15;176.02707097265176;170.5;170.5;188.20000000000002;181.7658776817478;171.0571996704254;170.5;185.1056351829522;170.52762868756355;170.5;170.5
29;-17002;6;1903;15;406.6852941012646;420.3;420.3;376.70000000000005;392.54902446755915;418.92746295872604;420.3;384.32227717645685;420.2319428939112;420.3;420.3
30;-16972;7;1903;15;318.15207770851214;320.90000000000003;320.90000000000003;312.1;315.29888567235145;320.6229741751557;320.90000000000003;313.638441264973;320.8862637033583;320.90000000000003;320.90000000000003
31;-16941;8;1903;15;484.47227467413654;497.40000000000003;497.40000000000003;456.0;471.04930304947123;496.0967194149372;497.40000000000003;463.23766686021355;497.3353769680716;497.40000000000003;497.40000000000003
32;-16910;9;1903;15;324.1267943846241;326.5;326.5;318.90000000000003;321.66267398975805;326.2607504239981;326.5;320.2286538197494;326.48813683471843;326.5;326.5
33;-16880;10;1903;15;292.8582973623278;287.3;287.3;305.1;298.6295267081984;287.8603476911623;287.3;301.98815289585025;287.3277847818436;287.3;287.3
34;-16849;11;1903;15;275.60961954047184;271.8;271.8;284.0;279.56518122696747;272.18405852989775;271.8;281.8671609735603;271.81904350216246;271.8;271.8
35;-16819;12;1903;15;384.1904816366845;396.40000000000003;396.40000000000003;357.3;371.513230657834;395.1691238918851;396.40000000000003;364.1355742568684;396.33896713651217;396.40000000000003;396.40000000000003
36;-16788;1;1904;15;344.7281300344889;365.40000000000003;365.40000000000003;299.2;323.26434448973424;363.31601027219415;365.40000000000003;310.77327406150096;365.29666558662666;365.40000000000003;365.40000000000003
37;-16757;2;1904;15;181.6413248724882;186.70000000000002;186.70000000000002;170.5;176.38885771501052;186.1900206406276;186.70000000000002;173.33213051051837;186.67471272663673;186.70000000000002;186.70000000000002
