index;time;month;year;day;DMA;Saint_Paul;Saint_Patrick;Saint_John;Saint_Peter;Saint_David;Saint_George;Saint_Andrew;Saint_Joseph;Saint_Mark;Saint_Luke
0;-17883;1;1901;15;20.724527793519975;20.1;20.1;22.1;21.372980529011052;20.162960414737338;20.1;21.7503542579607;20.103121885600405;20.1;20.1
1;-17852;2;1901;15;20.65575418319597;20.0;20.0;22.1;21.336629555461606;20.066108435474202;20.0;21.732871970858735;20.003277979880423;20.0;20.0
2;-17824;3;1901;15;20.586980572871973;19.900000000000002;19.900000000000002;22.1;21.300278581912156;19.96925645621107;19.900000000000002;21.715389683756772;19.903434074160444;19.900000000000002;19.900000000000002
3;-17793;4;1901;15;21.08698057287197;20.400000000000002;20.400000000000002;22.6;21.800278581912156;20.469256456211074;20.400000000000002;22.215389683756772;20.403434074160447;20.400000000000002;20.400000000000002
4;-17763;5;1901;15;22.15575418319597;21.5;21.5;23.6;22.836629555461606;21.566108435474202;21.5;23.232871970858735;21.503277979880423;21.5;21.5
5;-17732;6;1901;15;22.38698057287197;21.700000000000003;21.700000000000003;23.900000000000002;23.10027858191216;21.769256456211075;21.700000000000003;23.515389683756773;21.703434074160445;21.700000000000003;21.700000000000003
6;-17702;7;1901;15;22.218206962547967;21.5;21.5;23.8;22.96392760836271;21.572404476947938;21.5;23.397907396654805;21.503590168440464;21.5;21.5
7;-17671;8;1901;15;22.68698057287197;22.0;22.0;24.200000000000003;23.400278581912158;22.069256456211072;22.0;23.815389683756774;22.00343407416044;22.0;22.0
8;-17640;9;1901;15;22.518206962547968;21.8;21.8;24.1;23.26392760836271;21.872404476947935;21.8;23.697907396654802;21.803590168440465;21.8;21.8
9;-17610;10;1901;15;22.086980572871973;21.400000000000002;21.400000000000002;23.6;22.800278581912156;21.46925645621107;21.400000000000002;23.21538968375677;21.403434074160444;21.400000000000002;21.400000000000002
10;-17579;11;1901;15;21.68698057287197;21.0;21.0;23.200000000000003;22.400278581912158;21.069256456211072;21.0;22.81538968375677;21.00343407416044;21.0;21.0
11;-17549;12;1901;15;21.15575418319597;20.5;20.5;22.6;21.836629555461606;20.566108435474206;20.5;22.232871970858735;20.503277979880423;20.5;20.5
12;-17518;1;1902;15;20.62452779351997;20.0;20.0;22.0;21.27298052901105;20.062960414737336;20.0;21.6503542579607;20.003121885600404;20.0;20.0
13;-17487;2;1902;15;20.75575418319597;20.1;20.1;22.200000000000003;21.436629555461607;20.166108435474207;20.1;21.832871970858736;20.103277979880424;20.1;20.1
14;-17459;3;1902;15;20.18698057287197;19.5;19.5;21.700000000000003;20.900278581912158;19.56925645621107;19.5;21.315389683756774;19.503434074160445;19.5;19.5
15;-17428;4;1902;15;20.68698057287197;20.0;20.0;22.200000000000003;21.400278581912158;20.069256456211072;20.0;21.81538968375677;20.00343407416044;20.0;20.0
16;-17398;5;1902;15;21.624527793519974;21.0;21.0;23.0;22.27298052901105;21.06296041473734;21.0;22.650354257960696;21.0031218856004;21.0;21.0
17;-17367;6;1902;15;22.15575418319597;21.5;21.5;23.6;22.836629555461606;21.566108435474202;21.5;23.232871970858735;21.503277979880423;21.5;21.5
18;-17337;7;1902;15;22.41820696254797;21.700000000000003;21.700000000000003;24.0;23.163927608362712;21.77240447694794;21.700000000000003;23.597907396654804;21.703590168440467;21.700000000000003;21.700000000000003
19;-17306;8;1902;15;22.586980572871973;21.900000000000002;21.900000000000002;24.1;23.300278581912156;21.96925645621107;21.900000000000002;23.71538968375677;21.903434074160444;21.900000000000002;21.900000000000002
20;-17275;9;1902;15;22.28698057287197;21.6;21.6;23.8;23.00027858191216;21.669256456211073;21.6;23.415389683756768;21.603434074160443;21.6;21.6
21;-17245;10;1902;15;21.95575418319597;21.3;21.3;23.400000000000002;22.636629555461607;21.366108435474207;21.3;23.032871970858736;21.303277979880423;21.3;21.3
22;-17214;11;1902;15;21.58698057287197;20.900000000000002;20.900000000000002;23.1;22.300278581912156;20.969256456211074;20.900000000000002;22.715389683756772;20.903434074160447;20.900000000000002;20.900000000000002
23;-17184;12;1902;15;21.25575418319597;20.6;20.6;22.700000000000003;21.936629555461607;20.666108435474207;20.6;22.332871970858736;20.603277979880424;20.6;20.6
24;-17153;1;1903;15;21.024527793519972;20.400000000000002;20.400000000000002;22.400000000000002;21.672980529011053;20.46296041473734;20.400000000000002;22.050354257960702;20.403121885600406;20.400000000000002;20.400000000000002
25;-17122;2;1903;15;20.35575418319597;19.700000000000003;19.700000000000003;21.8;21.036629555461605;19.76610843547421;19.700000000000003;21.432871970858734;19.703277979880426;19.700000000000003;19.700000000000003
26;-17094;3;1903;15;20.28698057287197;19.6;19.6;21.8;21.00027858191216;19.669256456211073;19.6;21.415389683756768;19.603434074160443;19.6;19.6
27;-17063;4;1903;15;20.88698057287197;20.200000000000003;20.200000000000003;22.400000000000002;21.60027858191216;20.269256456211075;20.200000000000003;22.01538968375677;20.203434074160445;20.200000000000003;20.200000000000003
28;-17033;5;1903;15;22.355754183195973;21.700000000000003;21.700000000000003;23.8;23.036629555461605;21.76610843547421;21.700000000000003;23.432871970858734;21.703277979880426;21.700000000000003;21.700000000000003
29;-17002;6;1903;15;22.78698057287197;22.1;22.1;24.3;23.50027858191216;22.169256456211073;22.1;23.915389683756768;22.103434074160447;22.1;22.1
30;-16972;7;1903;15;22.518206962547968;21.8;21.8;24.1;23.26392760836271;21.872404476947935;21.8;23.697907396654802;21.803590168440465;21.8;21.8
31;-16941;8;1903;15;22.586980572871973;21.900000000000002;21.900000000000002;24.1;23.300278581912156;21.96925645621107;21.900000000000002;23.71538968375677;21.903434074160444;21.900000000000002;21.900000000000002
32;-16910;9;1903;15;22.28698057287197;21.6;21.6;23.8;23.00027858191216;21.669256456211073;21.6;23.415389683756768;21.603434074160443;21.6;21.6
33;-16880;10;1903;15;22.086980572871973;21.400000000000002;21.400000000000002;23.6;22.800278581912156;21.46925645621107;21.400000000000002;23.21538968375677;21.403434074160444;21.400000000000002;21.400000000000002
34;-16849;11;1903;15;21.58698057287197;20.900000000000002;20.900000000000002;23.1;22.300278581912156;20.969256456211074;20.900000000000002;22.715389683756772;20.903434074160447;20.900000000000002;20.900000000000002
35;-16819;12;1903;15;21.055754183195972;20.400000000000002;20.400000000000002;22.5;21.736629555461604;20.466108435474204;20.400000000000002;22.132871970858737;20.40327797988043;20.400000000000002;20.400000000000002
36;-16788;1;1904;15;20.62452779351997;20.0;20.0;22.0;21.27298052901105;20.062960414737336;20.0;21.6503542579607;20.003121885600404;20.0;20.0
37;-16757;2;1904;15;20.055754183195972;19.400000000000002;19.400000000000002;21.5;20.736629555461604;19.466108435474208;19.400000000000002;21.132871970858734;19.403277979880425;19.400000000000002;19.400000000000002
38;-16728;3;1904;15;20.086980572871973;19.400000000000002;19.400000000000002;21.6;20.800278581912156;19.469256456211074;19.400000000000002;21.21538968375677;19.403434074160444;19.400000000000002;19.400000000000002
39;-16697;4;1904;15;20.28698057287197;19.6;19.6;21.8;21.00027858191216;19.669256456211073;19.6;21.415389683756768;19.603434074160443;19.6;19.6
40;-16667;5;1904;15;21.75575418319597;21.1;21.1;23.200000000000003;22.436629555461607;21.166108435474204;21.1;22.832871970858736;21.103277979880424;21.1;21.1
41;-16636;6;1904;15;22.25575418319597;21.6;21.6;23.700000000000003;22.936629555461607;21.666108435474204;21.6;23.332871970858736;21.603277979880424;21.6;21.6
42;-16606;7;1904;15;22.118206962547973;21.400000000000002;21.400000000000002;23.700000000000003;22.86392760836271;21.472404476947936;21.400000000000002;23.297907396654807;21.403590168440466;21.400000000000002;21.400000000000002
43;-16575;8;1904;15;22.086980572871973;21.400000000000002;21.400000000000002;23.6;22.800278581912156;21.46925645621107;21.400000000000002;23.21538968375677;21.403434074160444;21.400000000000002;21.400000000000002
44;-16544;9;1904;15;22.086980572871973;21.400000000000002;21.400000000000002;23.6;22.800278581912156;21.46925645621107;21.400000000000002;23.21538968375677;21.403434074160444;21.400000000000002;21.400000000000002
45;-16514;10;1904;15;21.78698057287197;21.1;21.1;23.3;22.50027858191216;21.16925645621107;21.1;22.915389683756768;21.103434074160443;21.1;21.1
46;-16483;11;1904;15;21.78698057287197;21.1;21.1;23.3;22.50027858191216;21.16925645621107;21.1;22.915389683756768;21.103434074160443;21.1;21.1
47;-16453;12;1904;15;21.15575418319597;20.5;20.5;22.6;21.836629555461606;20.566108435474206;20.5;22.232871970858735;20.503277979880423;20.5;20.5
48;-16422;1;1905;15;20.62452779351997;20.0;20.0;22.0;21.27298052901105;20.062960414737336;20.0;21.6503542579607;20.003121885600404;20.0;20.0
49;-16391;2;1905;15;20.055754183195972;19.400000000000002;19.400000000000002;21.5;20.736629555461604;19.466108435474208;19.400000000000002;21.132871970858734;19.403277979880425;19.400000000000002;19.400000000000002
50;-16363;3;1905;15;20.15575418319597;19.5;19.5;21.6;20.836629555461606;19.566108435474202;19.5;21.232871970858735;19.503277979880423;19.5;19.5
51;-16332;4;1905;15;20.98698057287197;20.3;20.3;22.5;21.700278581912155;20.36925645621107;20.3;22.11538968375677;20.303434074160446;20.3;20.3
52;-16302;5;1905;15;21.624527793519974;21.0;21.0;23.0;22.27298052901105;21.06296041473734;21.0;22.650354257960696;21.0031218856004;21.0;21.0
53;-16271;6;1905;15;22.48698057287197;21.8;21.8;24.0;23.20027858191216;21.86925645621107;21.8;23.61538968375677;21.803434074160446;21.8;21.8
54;-16241;7;1905;15;22.31820696254797;21.6;21.6;23.900000000000002;23.06392760836271;21.67240447694794;21.6;23.497907396654806;21.603590168440462;21.6;21.6
55;-16210;8;1905;15;22.586980572871973;21.900000000000002;21.900000000000002;24.1;23.300278581912156;21.96925645621107;21.900000000000002;23.71538968375677;21.903434074160444;21.900000000000002;21.900000000000002
56;-16179;9;1905;15;22.31820696254797;21.6;21.6;23.900000000000002;23.06392760836271;21.67240447694794;21.6;23.497907396654806;21.603590168440462;21.6;21.6
57;-16149;10;1905;15;21.95575418319597;21.3;21.3;23.400000000000002;22.636629555461607;21.366108435474207;21.3;23.032871970858736;21.303277979880423;21.3;21.3
58;-16118;11;1905;15;21.98698057287197;21.3;21.3;23.5;22.700278581912155;21.369256456211073;21.3;23.115389683756767;21.303434074160442;21.3;21.3
59;-16088;12;1905;15;21.15575418319597;20.5;20.5;22.6;21.836629555461606;20.566108435474206;20.5;22.232871970858735;20.503277979880423;20.5;20.5
60;-16057;1;1906;15;20.524527793519972;19.900000000000002;19.900000000000002;21.900000000000002;21.172980529011053;19.96296041473734;19.900000000000002;21.550354257960702;19.903121885600402;19.900000000000002;19.900000000000002
61;-16026;2;1906;15;20.15575418319597;19.5;19.5;21.6;20.836629555461606;19.566108435474202;19.5;21.232871970858735;19.503277979880423;19.5;19.5
62;-15998;3;1906;15;20.28698057287197;19.6;19.6;21.8;21.00027858191216;19.669256456211073;19.6;21.415389683756768;19.603434074160443;19.6;19.6
63;-15967;4;1906;15;20.65575418319597;20.0;20.0;22.1;21.336629555461606;20.066108435474202;20.0;21.732871970858735;20.003277979880423;20.0;20.0
64;-15937;5;1906;15;21.95575418319597;21.3;21.3;23.400000000000002;22.636629555461607;21.366108435474207;21.3;23.032871970858736;21.303277979880423;21.3;21.3
65;-15906;6;1906;15;22.15575418319597;21.5;21.5;23.6;22.836629555461606;21.566108435474202;21.5;23.232871970858735;21.503277979880423;21.5;21.5
66;-15876;7;1906;15;22.28698057287197;21.6;21.6;23.8;23.00027858191216;21.669256456211073;21.6;23.415389683756768;21.603434074160443;21.6;21.6
67;-15845;8;1906;15;22.68698057287197;22.0;22.0;24.200000000000003;23.400278581912158;22.069256456211072;22.0;23.815389683756774;22.00343407416044;22.0;22.0
68;-15814;9;1906;15;22.31820696254797;21.6;21.6;23.900000000000002;23.06392760836271;21.67240447694794;21.6;23.497907396654806;21.603590168440462;21.6;21.6
69;-15784;10;1906;15;22.18698057287197;21.5;21.5;23.700000000000003;22.900278581912158;21.56925645621107;21.5;23.315389683756774;21.503434074160445;21.5;21.5
70;-15753;11;1906;15;21.88698057287197;21.200000000000003;21.200000000000003;23.400000000000002;22.60027858191216;21.269256456211075;21.200000000000003;23.015389683756773;21.203434074160448;21.200000000000003;21.200000000000003
71;-15723;12;1906;15;20.555754183195972;19.900000000000002;19.900000000000002;22.0;21.236629555461604;19.966108435474204;19.900000000000002;21.632871970858734;19.903277979880425;19.900000000000002;19.900000000000002
72;-15692;1;1907;15;19.993301403843976;19.400000000000002;19.400000000000002;21.3;20.6093315025605;19.459812394000473;19.400000000000002;20.967836545062664;19.402965791320383;19.400000000000002;19.400000000000002
73;-15661;2;1907;15;19.624527793519974;19.0;19.0;21.0;20.27298052901105;19.062960414737336;19.0;20.6503542579607;19.003121885600404;19.0;19.0
74;-15633;3;1907;15;19.786980572871972;19.1;19.1;21.3;20.50027858191216;19.16925645621107;19.1;20.915389683756768;19.103434074160443;19.1;19.1
75;-15602;4;1907;15;20.35575418319597;19.700000000000003;19.700000000000003;21.8;21.036629555461605;19.76610843547421;19.700000000000003;21.432871970858734;19.703277979880426;19.700000000000003;19.700000000000003
76;-15572;5;1907;15;21.524527793519972;20.900000000000002;20.900000000000002;22.900000000000002;22.172980529011053;20.96296041473734;20.900000000000002;22.550354257960702;20.903121885600406;20.900000000000002;20.900000000000002
77;-15541;6;1907;15;22.25575418319597;21.6;21.6;23.700000000000003;22.936629555461607;21.666108435474204;21.6;23.332871970858736;21.603277979880424;21.6;21.6
78;-15511;7;1907;15;22.518206962547968;21.8;21.8;24.1;23.26392760836271;21.872404476947935;21.8;23.697907396654802;21.803590168440465;21.8;21.8
79;-15480;8;1907;15;22.48698057287197;21.8;21.8;24.0;23.20027858191216;21.86925645621107;21.8;23.61538968375677;21.803434074160446;21.8;21.8
80;-15449;9;1907;15;22.31820696254797;21.6;21.6;23.900000000000002;23.06392760836271;21.67240447694794;21.6;23.497907396654806;21.603590168440462;21.6;21.6
81;-15419;10;1907;15;21.98698057287197;21.3;21.3;23.5;22.700278581912155;21.369256456211073;21.3;23.115389683756767;21.303434074160442;21.3;21.3
82;-15388;11;1907;15;21.78698057287197;21.1;21.1;23.3;22.50027858191216;21.16925645621107;21.1;22.915389683756768;21.103434074160443;21.1;21.1
83;-15358;12;1907;15;21.15575418319597;20.5;20.5;22.6;21.836629555461606;20.566108435474206;20.5;22.232871970858735;20.503277979880423;20.5;20.5
84;-15327;1;1908;15;20.724527793519975;20.1;20.1;22.1;21.372980529011052;20.162960414737338;20.1;21.7503542579607;20.103121885600405;20.1;20.1
85;-15296;2;1908;15;20.15575418319597;19.5;19.5;21.6;20.836629555461606;19.566108435474202;19.5;21.232871970858735;19.503277979880423;19.5;19.5
86;-15267;3;1908;15;20.18698057287197;19.5;19.5;21.700000000000003;20.900278581912158;19.56925645621107;19.5;21.315389683756774;19.503434074160445;19.5;19.5
87;-15236;4;1908;15;20.586980572871973;19.900000000000002;19.900000000000002;22.1;21.300278581912156;19.96925645621107;19.900000000000002;21.715389683756772;19.903434074160444;19.900000000000002;19.900000000000002
88;-15206;5;1908;15;21.95575418319597;21.3;21.3;23.400000000000002;22.636629555461607;21.366108435474207;21.3;23.032871970858736;21.303277979880423;21.3;21.3
89;-15175;6;1908;15;22.48698057287197;21.8;21.8;24.0;23.20027858191216;21.86925645621107;21.8;23.61538968375677;21.803434074160446;21.8;21.8
90;-15145;7;1908;15;22.61820696254797;21.900000000000002;21.900000000000002;24.200000000000003;23.36392760836271;21.97240447694794;21.900000000000002;23.797907396654807;21.903590168440463;21.900000000000002;21.900000000000002
91;-15114;8;1908;15;22.88698057287197;22.200000000000003;22.200000000000003;24.400000000000002;23.60027858191216;22.26925645621107;22.200000000000003;24.01538968375677;22.203434074160445;22.200000000000003;22.200000000000003
92;-15083;9;1908;15;22.41820696254797;21.700000000000003;21.700000000000003;24.0;23.163927608362712;21.77240447694794;21.700000000000003;23.597907396654804;21.703590168440467;21.700000000000003;21.700000000000003
93;-15053;10;1908;15;22.086980572871973;21.400000000000002;21.400000000000002;23.6;22.800278581912156;21.46925645621107;21.400000000000002;23.21538968375677;21.403434074160444;21.400000000000002;21.400000000000002
94;-15022;11;1908;15;21.58698057287197;20.900000000000002;20.900000000000002;23.1;22.300278581912156;20.969256456211074;20.900000000000002;22.715389683756772;20.903434074160447;20.900000000000002;20.900000000000002
95;-14992;12;1908;15;21.055754183195972;20.400000000000002;20.400000000000002;22.5;21.736629555461604;20.466108435474204;20.400000000000002;22.132871970858737;20.40327797988043;20.400000000000002;20.400000000000002
96;-14961;1;1909;15;20.324527793519973;19.700000000000003;19.700000000000003;21.700000000000003;20.972980529011053;19.76296041473734;19.700000000000003;21.350354257960703;19.703121885600407;19.700000000000003;19.700000000000003
97;-14930;2;1909;15;19.92452779351997;19.3;19.3;21.3;20.57298052901105;19.362960414737337;19.3;20.9503542579607;19.3031218856004;19.3;19.3
98;-14902;3;1909;15;20.586980572871973;19.900000000000002;19.900000000000002;22.1;21.300278581912156;19.96925645621107;19.900000000000002;21.715389683756772;19.903434074160444;19.900000000000002;19.900000000000002
99;-14871;4;1909;15;20.45575418319597;19.8;19.8;21.900000000000002;21.136629555461607;19.866108435474207;19.8;21.532871970858736;19.803277979880423;19.8;19.8
100;-14841;5;1909;15;21.855754183195973;21.200000000000003;21.200000000000003;23.3;22.536629555461605;21.266108435474205;21.200000000000003;22.932871970858734;21.203277979880426;21.200000000000003;21.200000000000003
101;-14810;6;1909;15;21.98698057287197;21.3;21.3;23.5;22.700278581912155;21.369256456211073;21.3;23.115389683756767;21.303434074160442;21.3;21.3
102;-14780;7;1909;15;22.41820696254797;21.700000000000003;21.700000000000003;24.0;23.163927608362712;21.77240447694794;21.700000000000003;23.597907396654804;21.703590168440467;21.700000000000003;21.700000000000003
103;-14749;8;1909;15;22.18698057287197;21.5;21.5;23.700000000000003;22.900278581912158;21.56925645621107;21.5;23.315389683756774;21.503434074160445;21.5;21.5
104;-14718;9;1909;15;22.41820696254797;21.700000000000003;21.700000000000003;24.0;23.163927608362712;21.77240447694794;21.700000000000003;23.597907396654804;21.703590168440467;21.700000000000003;21.700000000000003
105;-14688;10;1909;15;22.086980572871973;21.400000000000002;21.400000000000002;23.6;22.800278581912156;21.46925645621107;21.400000000000002;23.21538968375677;21.403434074160444;21.400000000000002;21.400000000000002
106;-14657;11;1909;15;21.355754183195973;20.700000000000003;20.700000000000003;22.8;22.036629555461605;20.766108435474205;20.700000000000003;22.432871970858738;20.70327797988043;20.700000000000003;20.700000000000003
107;-14627;12;1909;15;20.555754183195972;19.900000000000002;19.900000000000002;22.0;21.236629555461604;19.966108435474204;19.900000000000002;21.632871970858734;19.903277979880425;19.900000000000002;19.900000000000002
108;-14596;1;1910;15;20.193301403843975;19.6;19.6;21.5;20.8093315025605;19.659812394000472;19.6;21.167836545062666;19.602965791320383;19.6;19.6
109;-14565;2;1910;15;19.724527793519975;19.1;19.1;21.1;20.372980529011052;19.162960414737338;19.1;20.750354257960698;19.103121885600405;19.1;19.1
110;-14537;3;1910;15;20.055754183195972;19.400000000000002;19.400000000000002;21.5;20.736629555461604;19.466108435474208;19.400000000000002;21.132871970858734;19.403277979880425;19.400000000000002;19.400000000000002
