index;time;month;year;day;Hanover;Saint_Mary;Saint_Ann;Trelawny;Clarendon;Kingston;Saint_James;Saint_Elizabeth;JAM;Manchester;Westmoreland;Saint_Andrew;Portland;Saint_Catherine;Saint_Thomas
0;-17883;1;1901;15;23.481154595034642;21.31212348937989;20.700020221170114;22.49106822825264;22.194254291057593;23.3;22.852443588561467;1.0635048164699827e+33;3.352616979690946e+32;22.67939572632313;23.356057293532572;21.81307035516098;21.728423585944626;21.84904143807416;3.27053275810496e+33
1;-17852;2;1901;15;23.566298919413967;21.587015914917;20.80002599864729;22.505888750612424;22.29425429105759;23.3;22.852443588561467;1.0635048164699827e+33;3.352616979690946e+32;22.72352862805129;23.425564455224148;22.04784872013556;21.893051753861947;21.985088195952425;3.27053275810496e+33
2;-17824;3;1901;15;24.636587568172637;22.49956970214844;21.8000231099087;23.421571472150283;23.39730631113053;24.5;23.772109934272024;1.0635048164699827e+33;3.352616979690946e+32;23.74988588392735;24.464578778607287;23.013070355160977;22.928423585944625;23.027981946706234;3.27053275810496e+33
3;-17793;4;1901;15;24.866298919413968;22.899569702148447;22.200023109908706;23.820996672698232;23.642728281021125;24.70000000000001;24.158999037131647;1.0635048164699827e+33;3.352616979690946e+32;24.02654935270548;24.72556445522414;23.369589265144032;23.238489597333288;23.341108813616906;3.27053275810496e+33
4;-17763;5;1901;15;25.496010270655308;23.32467727661133;22.800017332431523;24.59078082852661;24.088150250911713;25.0;24.94588813999129;1.0635048164699827e+33;3.352616979690946e+32;24.614947018027312;25.386550131841002;23.74784872013556;23.68204404414189;23.78216843104865;3.27053275810496e+33
5;-17732;6;1901;15;26.68115459503464;24.799569702148442;24.10002310990869;25.72128407242425;25.33662424087525;26.1;26.06555448570184;1.0635048164699827e+33;3.352616979690946e+32;25.778186747431754;26.55605729353257;25.16088654010167;25.044788815396466;25.083254062630356;3.27053275810496e+33
6;-17702;7;1901;15;26.966298919413966;24.91212348937989;24.30002022117011;25.921571472150283;25.53662424087525;26.3;26.272109934272024;1.0635048164699827e+33;3.352616979690946e+32;26.010358953475947;26.825564455224146;25.282627085110146;25.190226658867807;25.25622556079107;3.27053275810496e+33
7;-17671;8;1901;15;27.066298919413967;25.19956970214844;24.5000231099087;26.036391994510065;25.788150250911713;26.70000000000001;26.372109934272018;1.0635048164699827e+33;3.352616979690946e+32;26.17951792925597;26.925564455224148;25.60436763011861;25.490226658867808;25.536225434727235;3.27053275810496e+33
8;-17640;9;1901;15;26.896010270655307;24.82467727661133;24.300017332431523;26.00617615033845;25.53662424087525;26.3;26.35899903713165;1.0635048164699827e+33;3.352616979690946e+32;26.017967742681503;26.786550131841;25.204367630118607;25.135664502339157;25.22919705895177;3.27053275810496e+33
9;-17610;10;1901;15;26.09601027065531;24.024677276611328;23.500017332431533;25.20588875061243;24.633572220802307;25.3;25.552443588561463;1.0635048164699827e+33;3.352616979690946e+32;25.15182949155569;25.98655013184101;24.36088654010167;24.244788815396447;24.359274806358666;3.27053275810496e+33
