index;time;month;year;day;Sud;L'Artibonite;Centre;Nippes;Sud-Est;Ouest;HTI;Nord-Est;Nord-Ouest;Nord;Grand'Anse
0;-17883;1;1901;15;22.689889467470213;22.204436452291105;21.223958140325415;23.05422287777357;21.798758395528296;4.4181474038020315e+29;5.712879423450801e+29;22.21488176239837;4.19471096904302e+30;22.230308412188283;2.3095342854042384e+30
1;-17852;2;1901;15;23.043193676471475;22.54319361880887;21.67698111332015;23.3821200859188;22.131151631918662;4.4181474038020315e+29;5.712879423450801e+29;22.644735063124436;4.19471096904302e+30;22.55678947435631;2.3095342854042384e+30
2;-17824;3;1901;15;23.8898907839996;23.40549139161636;22.506731832143657;24.278320363934114;22.887355143519425;4.4181474038020315e+29;5.712879423450801e+29;23.54059619099897;4.19471096904302e+30;23.431281237658734;2.3095342854042384e+30
3;-17793;4;1901;15;24.2161797903131;23.841147953413614;22.90673183214366;24.65329188576345;23.28735514351943;4.4181474038020315e+29;5.712879423450801e+29;24.021416559500516;4.19471096904302e+30;23.831281237658736;2.3095342854042384e+30
4;-17763;5;1901;15;25.09577168909848;24.71240774131357;23.783459577972433;25.55604908848075;24.132408393665706;4.4181474038020315e+29;5.712879423450801e+29;24.96182674375129;4.19471096904302e+30;24.731281237658735;2.3095342854042384e+30
5;-17732;6;1901;15;25.91029822694952;25.50427743031727;24.4304366049777;26.314522356803575;24.752005246983668;4.4181474038020315e+29;5.712879423450801e+29;25.685182448724845;4.19471096904302e+30;25.578805526057906;2.3095342854042384e+30
6;-17702;7;1901;15;26.06360046115671;25.54784106788173;24.47741363198297;26.457799333928424;24.864036879866052;4.4181474038020315e+29;5.712879423450801e+29;25.729731505101086;4.19471096904302e+30;25.60431376275548;2.3095342854042384e+30
7;-17671;8;1901;15;26.316179132048408;25.93894600702564;24.90649116759211;26.789493878632904;25.28798352439295;4.4181474038020315e+29;5.712879423450801e+29;26.172383627275998;4.19471096904302e+30;26.004800175490708;2.3095342854042384e+30
8;-17640;9;1901;15;26.316179132048408;25.92965452626172;24.859514140586843;26.777389371924;25.323961801802227;4.4181474038020315e+29;5.712879423450801e+29;26.11503574945091;4.19471096904302e+30;25.921541044666775;2.3095342854042384e+30
9;-17610;10;1901;15;25.43658657499834;24.976910745653214;23.9304366049777;25.85329188576345;24.343558655120187;4.4181474038020315e+29;5.712879423450801e+29;25.22559263297562;4.19471096904302e+30;25.062551069617065;2.3095342854042384e+30
10;-17579;11;1901;15;23.889889467470216;23.338100191832737;22.353708859148924;24.251131093284492;22.887355143519425;4.4181474038020315e+29;5.712879423450801e+29;23.4787644373256;4.19471096904302e+30;23.330794824923508;2.3095342854042384e+30
11;-17549;12;1901;15;23.163600461156708;22.566801179334973;21.60001270293983;23.491132808138634;22.05982345797362;4.4181474038020315e+29;5.712879423450801e+29;22.655291946649143;4.19471096904302e+30;22.630308412188285;2.3095342854042384e+30
12;-17518;1;1902;15;22.289889467470214;21.777795241280867;20.823958140325416;22.654222877773574;21.422705040055185;4.4181474038020315e+29;5.712879423450801e+29;21.802082940949525;4.19471096904302e+30;21.756303061621082;2.3095342854042384e+30
