index;time;month;year;day;Sud;L'Artibonite;Centre;Nippes;Sud-Est;Ouest;HTI;Nord-Est;Nord-Ouest;Nord;Grand'Anse
0;-17883;1;1901;15;162.8447862815025;58.034079884688346;45.92750337591363;130.6592911714868;96.6518936171666;4.4181474038020315e+29;5.712879423450801e+29;98.18539213547629;4.19471096904302e+30;164.27130083153267;2.3095342854042384e+30
1;-17852;2;1901;15;8.489061415297046;11.04052828622495;8.611857063175156;7.512797059395692;5.510599005661604;4.4181474038020315e+29;5.712879423450801e+29;20.328975655294663;4.19471096904302e+30;31.074324321150442;2.3095342854042384e+30
2;-17824;3;1901;15;96.01255389632323;42.13470100545316;54.92154079066365;82.96535543784171;98.3648717885656;4.4181474038020315e+29;5.712879423450801e+29;50.30732299001487;4.19471096904302e+30;77.78163019074259;2.3095342854042384e+30
3;-17793;4;1901;15;100.67827097762716;63.62059335419591;104.48445204328254;95.61796084233505;118.09018511751381;4.4181474038020315e+29;5.712879423450801e+29;73.5102139645094;4.19471096904302e+30;84.5056063253665;2.3095342854042384e+30
4;-17763;5;1901;15;252.6129970492322;174.1197148158412;239.2222608821981;222.0311928660025;265.43029732471666;4.4181474038020315e+29;5.712879423450801e+29;178.9689311384108;4.19471096904302e+30;185.94392393612057;2.3095342854042384e+30
5;-17732;6;1901;15;504.0381446557402;370.56314945499145;395.77638239035497;432.14096080007414;379.7961774279835;4.4181474038020315e+29;5.712879423450801e+29;298.12451301509606;4.19471096904302e+30;333.5860619078197;2.3095342854042384e+30
6;-17702;7;1901;15;218.87919721622924;174.73248358314424;192.97446191224952;213.54489631634578;199.8211155832657;4.4181474038020315e+29;5.712879423450801e+29;127.44073311692898;4.19471096904302e+30;133.8559134811662;2.3095342854042384e+30
7;-17671;8;1901;15;93.68438455392067;83.11459009714675;95.21250402602564;94.18243980058058;101.44813141389302;4.4181474038020315e+29;5.712879423450801e+29;66.40433978721123;4.19471096904302e+30;72.44182470950102;2.3095342854042384e+30
8;-17640;9;1901;15;358.33519689067134;234.12833683793542;273.202361901307;301.8442284496775;305.07264931728537;4.4181474038020315e+29;5.712879423450801e+29;187.51617222051078;4.19471096904302e+30;216.3761260636758;2.3095342854042384e+30
9;-17610;10;1901;15;491.0202283478237;196.80037803450162;247.25059095955578;383.84538843623864;311.5119663092595;4.4181474038020315e+29;5.712879423450801e+29;207.4008760887174;4.19471096904302e+30;230.11488702954702;2.3095342854042384e+30
10;-17579;11;1901;15;122.43877019239802;69.5765412247547;89.17273280329007;105.50505231338472;128.02738938881728;4.4181474038020315e+29;5.712879423450801e+29;124.41778205625516;4.19471096904302e+30;162.40982058710753;2.3095342854042384e+30
11;-17549;12;1901;15;81.04875283825027;41.31555670270922;38.185699759816366;64.56396325322847;60.81837302616211;4.4181474038020315e+29;5.712879423450801e+29;97.21862736246504;4.19471096904302e+30;136.8313058973187;2.3095342854042384e+30
