index;time;month;year;day;Borgou;Collines;BEN;Mono;Kouffo;Atlantique;Donga;Plateau;Atakora;Alibori;Littoral;Oueme;Zou
36;-16788.0;1.0;1904.0;15.0;26.350407;27.957272;26.56515;27.698486;27.882998;27.764273;26.655367;27.911377;26.247135;25.36222;27.7;27.732643;28.224854
37;-16757.0;2.0;1904.0;15.0;28.657278;29.409142;28.688116;28.798487;28.941507;28.864273;28.617205;29.160585;28.509222;28.270742;28.8;28.87087;29.265896
38;-16728.0;3.0;1904.0;15.0;30.14287;29.587141;30.174261;28.86739;28.947422;28.907026;29.617947;29.16861;30.639;31.105225;28.7;28.874384;29.207882
39;-16697.0;4.0;1904.0;15.0;30.01106;28.81786;30.213556;28.4;28.35851;28.370522;29.152117;28.451754;30.88631;32.212555;28.3;28.37087;28.510456
40;-16667.0;5.0;1904.0;15.0;28.498117;27.807154;28.923214;27.6;27.600002;27.570522;27.797602;27.619871;29.421791;30.839289;27.5;27.532642;27.730076
41;-16636.0;6.0;1904.0;15.0;26.787188;26.465023;27.13534;26.435066;26.36442;26.44067;26.25165;26.35655;27.29446;28.534681;26.3;26.365286;26.487593
42;-16606.0;7.0;1904.0;15.0;25.59175;25.455559;25.840387;25.635067;25.522923;25.64067;25.12981;25.569565;25.781506;26.77991;25.5;25.603514;25.648054
43;-16575.0;8.0;1904.0;15.0;25.228197;25.123083;25.444862;25.433838;25.275509;25.372606;24.883644;25.233116;25.474173;26.12635;25.3;25.332644;25.291122
44;-16544.0;9.0;1904.0;15.0;25.571846;25.737047;25.902555;26.033838;25.917002;25.972605;25.350437;25.855232;25.845732;26.564556;25.9;25.906647;25.97106
45;-16514.0;10.0;1904.0;15.0;26.78522;26.752798;27.162369;26.801228;26.722923;26.838587;26.444498;26.818533;27.359161;28.118578;26.7;26.777517;26.853092
46;-16483.0;11.0;1904.0;15.0;26.854265;27.659565;27.168367;27.666162;27.699997;27.668438;26.720825;27.789675;27.0842;27.089458;27.6;27.67087;27.864712
47;-16453.0;12.0;1904.0;15.0;26.053688;27.505884;26.403067;27.568619;27.65333;27.734047;26.2737;27.74849;26.271727;25.441586;27.6;27.703514;27.923527
48;-16422.0;1.0;1905.0;15.0;25.182787;26.974394;25.388893;26.898485;27.041498;26.99375;25.473513;27.089262;24.894447;23.995329;27.0;26.961773;27.323317
49;-16391.0;2.0;1905.0;15.0;26.356817;27.455353;26.421135;27.26739;27.305922;27.39546;26.357195;27.572126;25.996374;25.619333;27.4;27.4;27.608637
50;-16363.0;3.0;1905.0;15.0;28.825703;28.530615;28.875923;28.06739;28.10592;28.165981;28.306435;28.376883;29.119852;29.56653;28.1;28.17087;28.30645
51;-16332.0;4.0;1905.0;15.0;29.589018;28.4935;29.79634;28.235065;28.164423;28.270147;28.71227;28.328106;30.343863;31.691273;28.2;28.27087;28.30564
52;-16302.0;5.0;1905.0;15.0;28.581413;27.904976;28.990234;27.8;27.758505;27.770523;27.80877;27.804028;29.42154;30.877611;27.7;27.732643;27.89347
53;-16271.0;6.0;1905.0;15.0;26.06639;25.84976;26.426487;25.868904;25.764421;25.901709;25.55194;25.75659;26.543472;27.734682;25.9;25.823544;25.887594
54;-16241.0;7.0;1905.0;15.0;25.69175;25.55556;25.932705;25.635067;25.56442;25.64067;25.22981;25.639175;25.881506;26.879908;25.5;25.603514;25.74079
55;-16210.0;8.0;1905.0;15.0;24.849337;24.847095;25.077486;25.333838;25.134008;25.272606;24.492266;25.110983;25.001429;25.669357;25.2;25.232643;25.089584
56;-16179.0;9.0;1905.0;15.0;25.671846;25.837048;25.992666;26.033838;25.9585;25.972605;25.450438;25.924843;25.93348;26.664557;25.9;25.906647;26.063795
57;-16149.0;10.0;1905.0;15.0;26.585218;26.552797;26.958994;26.701227;26.581427;26.738586;26.244497;26.648922;27.143888;27.882378;26.6;26.677519;26.660357
58;-16118.0;11.0;1905.0;15.0;27.92588;28.574398;28.223194;28.366161;28.441498;28.368439;27.764572;28.57513;28.237482;28.321898;28.3;28.37087;28.671288
59;-16088.0;12.0;1905.0;15.0;27.068094;28.320717;27.391928;28.23478;28.353333;28.402485;27.250238;28.464315;27.367542;26.607155;28.2;28.374384;28.637365
60;-16057.0;1.0;1906.0;15.0;25.282429;27.042439;25.520212;26.932323;27.082994;26.995834;25.61162;27.095552;25.109638;24.183058;27.0;26.961773;27.411015
61;-16026.0;2.0;1906.0;15.0;28.657278;29.415752;28.714317;28.898485;29.041504;28.964272;28.617311;29.228685;28.580006;28.271736;28.9;28.906647;29.351952
62;-15998.0;3.0;1906.0;15.0;30.348927;29.834967;30.399733;29.16739;29.247421;29.236504;29.817945;29.498999;30.839;31.30998;29.1;29.241741;29.507988
63;-15967.0;4.0;1906.0;15.0;32.117283;30.670126;32.308617;30.066162;30.100006;30.038961;31.17298;30.235678;33.11525;34.58013;29.9;30.04174;30.30319
64;-15937.0;5.0;1906.0;15.0;28.698118;27.938555;29.116018;27.8;27.758505;27.770523;27.997313;27.804028;29.634487;31.047863;27.7;27.732643;27.89347
65;-15906.0;6.0;1906.0;15.0;27.422945;26.995995;27.771446;26.9;26.858503;26.870522;26.888968;26.826181;28.010365;29.270882;26.8;26.794415;26.98057
66;-15876.0;7.0;1906.0;15.0;25.391748;25.25556;25.636967;25.535067;25.381426;25.54067;24.92981;25.399954;25.56598;26.543709;25.4;25.503513;25.455318
