"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,45,"CYM","Cayman Islands",1,"Bodden Town","KY.BT",NA,"","District","District","",""
2,45,"CYM","Cayman Islands",2,"Cayman Brac","KY.CB",NA,"","District","District","",""
3,45,"CYM","Cayman Islands",3,"East End","KY.EE",NA,"","District","District","",""
4,45,"CYM","Cayman Islands",4,"George Town","KY.GT",NA,"","District","District","",""
5,45,"CYM","Cayman Islands",5,"Little Cayman","KY.SO",NA,"","District","District","",""
6,45,"CYM","Cayman Islands",6,"North Side","KY.NS",NA,"","District","District","",""
7,45,"CYM","Cayman Islands",7,"West Bay","KY.WB",NA,"","District","District","",""
