index;time;month;year;day;ATG;Redonda;Saint_Paul;Saint_Mary;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Barbuda
0;-17883;1;1901;15;6.97270936355577e+33;23.6;6.544403994150141e+34;24.6;24.6;24.6;24.6;24.6;2.9725746036271033e+31
1;-17852;2;1901;15;6.97270936355577e+33;23.700000000000003;6.544403994150141e+34;24.8;24.8;24.8;24.8;24.8;2.9725746036271033e+31
2;-17824;3;1901;15;6.97270936355577e+33;23.700000000000003;6.544403994150141e+34;24.8;24.8;24.8;24.8;24.8;2.9725746036271033e+31
3;-17793;4;1901;15;6.97270936355577e+33;24.200000000000003;6.544403994150141e+34;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003;2.9725746036271033e+31
4;-17763;5;1901;15;6.97270936355577e+33;25.3;6.544403994150141e+34;26.0;26.0;26.0;26.0;26.0;2.9725746036271033e+31
5;-17732;6;1901;15;6.97270936355577e+33;25.400000000000002;6.544403994150141e+34;26.1;26.1;26.1;26.1;26.1;2.9725746036271033e+31
6;-17702;7;1901;15;6.97270936355577e+33;25.400000000000002;6.544403994150141e+34;26.1;26.1;26.1;26.1;26.1;2.9725746036271033e+31
7;-17671;8;1901;15;6.97270936355577e+33;25.900000000000002;6.544403994150141e+34;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;2.9725746036271033e+31
8;-17640;9;1901;15;6.97270936355577e+33;25.8;6.544403994150141e+34;26.6;26.6;26.6;26.6;26.6;2.9725746036271033e+31
9;-17610;10;1901;15;6.97270936355577e+33;25.3;6.544403994150141e+34;26.200000000000003;26.200000000000003;26.200000000000003;26.200000000000003;26.200000000000003;2.9725746036271033e+31
10;-17579;11;1901;15;6.97270936355577e+33;24.700000000000003;6.544403994150141e+34;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003;2.9725746036271033e+31
11;-17549;12;1901;15;6.97270936355577e+33;24.1;6.544403994150141e+34;25.1;25.1;25.1;25.1;25.1;2.9725746036271033e+31
12;-17518;1;1902;15;6.97270936355577e+33;23.400000000000002;6.544403994150141e+34;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;24.400000000000002;2.9725746036271033e+31
13;-17487;2;1902;15;6.97270936355577e+33;23.8;6.544403994150141e+34;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;2.9725746036271033e+31
14;-17459;3;1902;15;6.97270936355577e+33;23.200000000000003;6.544403994150141e+34;24.3;24.3;24.3;24.3;24.3;2.9725746036271033e+31
15;-17428;4;1902;15;6.97270936355577e+33;23.8;6.544403994150141e+34;24.8;24.8;24.8;24.8;24.8;2.9725746036271033e+31
16;-17398;5;1902;15;6.97270936355577e+33;24.6;6.544403994150141e+34;25.3;25.3;25.3;25.3;25.3;2.9725746036271033e+31
17;-17367;6;1902;15;6.97270936355577e+33;25.200000000000003;6.544403994150141e+34;25.900000000000002;25.900000000000002;25.900000000000002;25.900000000000002;25.900000000000002;2.9725746036271033e+31
18;-17337;7;1902;15;6.97270936355577e+33;25.6;6.544403994150141e+34;26.3;26.3;26.3;26.3;26.3;2.9725746036271033e+31
19;-17306;8;1902;15;6.97270936355577e+33;25.8;6.544403994150141e+34;26.6;26.6;26.6;26.6;26.6;2.9725746036271033e+31
20;-17275;9;1902;15;6.97270936355577e+33;25.5;6.544403994150141e+34;26.3;26.3;26.3;26.3;26.3;2.9725746036271033e+31
21;-17245;10;1902;15;6.97270936355577e+33;25.1;6.544403994150141e+34;26.0;26.0;26.0;26.0;26.0;2.9725746036271033e+31
22;-17214;11;1902;15;6.97270936355577e+33;24.5;6.544403994150141e+34;25.5;25.5;25.5;25.5;25.5;2.9725746036271033e+31
23;-17184;12;1902;15;6.97270936355577e+33;24.200000000000003;6.544403994150141e+34;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003;25.200000000000003;2.9725746036271033e+31
24;-17153;1;1903;15;6.97270936355577e+33;23.900000000000002;6.544403994150141e+34;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;2.9725746036271033e+31
25;-17122;2;1903;15;6.97270936355577e+33;23.400000000000002;6.544403994150141e+34;24.5;24.5;24.5;24.5;24.5;2.9725746036271033e+31
