"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,11,"ATG","Antigua and Barbuda",1,"Barbuda","AG.BB",NA,"","Dependency","Dependency","","Codrington"
2,11,"ATG","Antigua and Barbuda",2,"Redonda","AG.RD",NA,"","Dependency","Dependency","",""
3,11,"ATG","Antigua and Barbuda",3,"Saint George","AG.GE",NA,"","Parish","Parish","","Parham"
4,11,"ATG","Antigua and Barbuda",4,"Saint John","AG.JO",NA,"","Parish","Parish","","Saint John's"
5,11,"ATG","Antigua and Barbuda",5,"Saint Mary","AG.MA",NA,"","Parish","Parish","","Bolands"
6,11,"ATG","Antigua and Barbuda",6,"Saint Paul","AG.PA",NA,"","Parish","Parish","","Nelson's Dockyard"
7,11,"ATG","Antigua and Barbuda",7,"Saint Peter","AG.PE",NA,"","Parish","Parish","","Parham"
8,11,"ATG","Antigua and Barbuda",8,"Saint Philip","AG.PH",NA,"","Parish","Parish","","Carlisle"
