index;time;month;year;day;Central_Eleuthera;Central_Abaco;Inagua;North_Eleuthera;Grand_Cay;Crooked_Island;Mayaguana;Rum_Cay;South_Eleuthera;Harbour_Island;New_Providence;North_Andros;Long_Island;North_Abaco;Mangrove_Cay;Hope_Town;West_Grand_Bahama;South_Abaco;Biminis;City_of_Freeport;East_Grand_Bahama;Moore's_Island;Berry_Islands;Spanish_Wells;South_Andros;Black_Point;Cat_Island;San_Salvador;Ragged_Island;Exuma;Acklins;Central_Andros;BHS
0;-17883;1;1901;15;24.66845580774736;1.0974902354943568e+34;5.298686008922146e+35;22.432193656195114;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;22.400000000000002;23.200000000000003;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;63.79317613944784;34.10024540540581;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;22.81194145938034;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;35.8315389137004;6.975560446179644e+35
1;-17852;2;1901;15;39.060226888029284;1.0974902354943568e+34;5.298686008922146e+35;37.719164590144565;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;36.2;39.2;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;43.55782580513318;25.39984730330306;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;38.674979621514574;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;26.340553801906413;6.975560446179644e+35
2;-17824;3;1901;15;53.258855401409605;1.0974902354943568e+34;5.298686008922146e+35;52.23657256654839;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;50.300000000000004;53.400000000000006;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;68.35917484306049;40.69993455855845;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;52.98911448640271;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;40.064065888520474;6.975560446179644e+35
3;-17793;4;1901;15;66.98354216056386;1.0974902354943568e+34;5.298686008922146e+35;63.75022175432217;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;65.8;63.7;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;56.78504257642619;48.69982548948921;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;63.47173027022374;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;48.656525573449485;6.975560446179644e+35
4;-17763;5;1901;15;293.76320690774196;1.0974902354943568e+34;5.298686008922146e+35;296.0333745069341;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;305.5;288.90000000000003;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;230.0109103097919;296.19929650450337;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;291.1142163788299;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;300.80294424785745;6.975560446179644e+35
5;-17732;6;1901;15;247.48777514365958;1.0974902354943568e+34;5.298686008922146e+35;254.44158572621637;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;253.8;251.8;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;269.2768303424889;314.90166330330607;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;253.07831048674717;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;303.3938072126885;6.975560446179644e+35
6;-17702;7;1901;15;165.88628513380323;1.0974902354943568e+34;5.298686008922146e+35;169.49693419474315;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;164.9;171.0;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;141.51634579695894;217.30112341141324;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;170.84021118915663;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;215.96148645206333;6.975560446179644e+35
7;-17671;8;1901;15;146.37805621408515;1.0974902354943568e+34;5.298686008922146e+35;146.82772578065337;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;144.8;147.1;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;196.5346561476221;149.6999727327327;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;147.05434605404474;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;155.32850149407952;6.975560446179644e+35
8;-17640;9;1901;15;201.15485946478725;1.0974902354943568e+34;5.298686008922146e+35;204.05034420557195;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;205.10000000000002;202.5;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;181.21360838564652;227.8005398918928;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;203.16198221635122;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;223.69077381083906;6.975560446179644e+35
9;-17610;10;1901;15;147.74525905844948;1.0974902354943568e+34;5.298686008922146e+35;148.56120861124575;9.969209968386869e+36;1.0683209718078099e+36;1.5090215814519908e+31;8.922181357506747e+36;151.0;143.9;1.8031163898528072e+36;1.060533418477466e+35;1.8182136279092765e+36;101.43404063184516;146.299787315315;4.3485650109654347e+36;6.668577556030614e+34;1.1342763241970346e+35;9.945423847036123e+36;7.2039132108876e+35;8.77438838441279e+34;9.969209968386869e+36;9.960846525802191e+36;145.29244535163528;3.5389307255053253e+34;5.841936745891262e+36;3.944963108508784e+36;9.969209968386869e+36;9.304393258070802e+36;1.0769144678880295e+36;7.325890121903243e+34;152.0546414282116;6.975560446179644e+35
