index;time;month;year;day;Princes_Town;Penal-Debe;Port_of_Spain;Chaguanas;Point_Fortin;San_Juan-Laventille;Diego_Martin;Tobago;Arima;Couva-Tabaquite-Talparo;Siparia;TTO;San_Fernando;Tunapuna/Piarco;Sangre_Grande;Mayaro/Rio_Claro
0;-17883;1;1901;15;62.400000000000006;61.86051568237817;53.74476955189409;55.30462451815175;48.0;55.26871950746366;53.623833783517476;1.7090629194463591e+34;55.300000000000004;60.844042665891514;48.748596239533356;1.700103585635717e+35;62.38600368035313;55.300000000000004;8.27597870505608e+35;1.2900626098844994e+35
1;-17852;2;1901;15;68.7;68.55014324510505;61.49148414400623;61.404754786268704;64.7;61.401840028972735;61.49859801273427;1.7090629194463591e+34;61.400000000000006;67.10021288183212;64.90794339987038;1.700103585635717e+35;68.69611213343143;61.400000000000006;8.27597870505608e+35;1.2900626098844994e+35
2;-17824;3;1901;15;43.0;42.58789392403888;34.59610991956387;41.00130268116951;32.0;40.87119797190913;34.09813910860135;1.7090629194463591e+34;41.0;42.56170215940605;32.57184434964354;1.700103585635717e+35;42.98930836693641;41.0;8.27597870505608e+35;1.2900626098844994e+35
3;-17793;4;1901;15;60.6;59.82074487454625;41.78783929527728;52.40534099279498;39.800000000000004;52.18655663916372;40.962630522825094;1.7090629194463591e+34;52.400000000000006;58.80297885356484;40.88130567932597;1.700103585635717e+35;60.579783093843396;52.400000000000006;8.27597870505608e+35;1.2900626098844994e+35
4;-17763;5;1901;15;112.9;111.70863879858513;83.33285407887854;99.80853256166027;81.10000000000001;99.46879478490922;82.05235770783204;1.7090629194463591e+34;99.80000000000001;110.02914914410968;82.7531500289695;1.700103585635717e+35;112.86909146077981;99.80000000000001;8.27597870505608e+35;1.2900626098844994e+35
5;-17732;6;1901;15;215.5;213.02736354423328;155.26838889309664;197.91146359429166;149.5;197.04254649870938;151.95332606583185;1.7090629194463591e+34;197.9;211.6429790027733;152.93106609786122;1.700103585635717e+35;215.43585020161845;197.9;8.27597870505608e+35;1.2900626098844994e+35
6;-17702;7;1901;15;261.7;258.85646807586824;195.79199142085986;241.9128965435781;185.8;240.9726253977458;192.2066015819297;1.7090629194463591e+34;241.9;257.36085137812;189.74572601254042;1.700103585635717e+35;261.6262277318612;241.9;8.27597870505608e+35;1.2900626098844994e+35
7;-17671;8;1901;15;235.5;233.5818335373446;194.7143677900873;222.80827202542636;184.3;222.23511110537294;192.53041009058023;1.7090629194463591e+34;222.8;232.7168087122285;186.96167551834083;1.700103585635717e+35;235.45023530792218;222.8;8.27597870505608e+35;1.2900626098844994e+35
8;-17640;9;1901;15;166.10000000000002;164.24177623930262;135.16011826881004;181.98964368470246;116.5;181.05790516596397;131.51781748005558;1.7090629194463591e+34;182.0;169.58446783272186;119.07849815839268;1.700103585635717e+35;166.05179045454963;182.0;8.27597870505608e+35;1.2900626098844994e+35
9;-17610;10;1901;15;182.10000000000002;180.60892528879523;166.62775465334587;205.58469349625835;142.3;204.81614765761847;163.5972465752025;1.7090629194463591e+34;205.60000000000002;187.24999962697888;144.36903682871028;1.700103585635717e+35;182.06131572764266;205.60000000000002;8.27597870505608e+35;1.2900626098844994e+35
