index;time;month;year;day;Salt_Cay;Grand_Turk;South_Caicos_and_East_Caicos;Middle_Caicos;Providenciales_and_West_Caicos;North_Caicos;TCA
18;-17337;7;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;104.7;99.4;103.30967136448805;9.099276877448907e+35
19;-17306;8;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;124.10000000000001;121.80000000000001;123.49664983741934;9.099276877448907e+35
20;-17275;9;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;127.2;124.80000000000001;126.57041722165498;9.099276877448907e+35
21;-17245;10;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;126.0;126.4;126.1049304630575;9.099276877448907e+35
22;-17214;11;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;83.60000000000001;79.4;82.4982301378962;9.099276877448907e+35
23;-17184;12;1902;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;94.5;89.30000000000001;93.13590398025244;9.099276877448907e+35
24;-17153;1;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;66.60000000000001;57.5;64.21283196544178;9.099276877448907e+35
25;-17122;2;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;50.800000000000004;47.5;49.93432367977559;9.099276877448907e+35
26;-17094;3;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;55.6;54.400000000000006;55.28520861082748;9.099276877448907e+35
27;-17063;4;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;123.2;118.30000000000001;121.91460182754557;9.099276877448907e+35
28;-17033;5;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;241.9;240.9;241.63767384235624;9.099276877448907e+35
29;-17002;6;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;132.8;137.0;133.90176986210378;9.099276877448907e+35
30;-16972;7;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;92.9;87.0;91.35227566990181;9.099276877448907e+35
31;-16941;8;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;224.0;229.5;225.44279386704068;9.099276877448907e+35
32;-16910;9;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;139.4;146.3;141.21005048774197;9.099276877448907e+35
33;-16880;10;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;113.0;109.10000000000001;111.97692798518932;9.099276877448907e+35
34;-16849;11;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;92.10000000000001;85.80000000000001;90.4473452068443;9.099276877448907e+35
35;-16819;12;1903;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;91.10000000000001;82.30000000000001;88.79152981273491;9.099276877448907e+35
36;-16788;1;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;70.10000000000001;61.800000000000004;67.92269289155678;9.099276877448907e+35
37;-16757;2;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;66.7;62.0;65.46706705907431;9.099276877448907e+35
38;-16728;3;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;72.8;72.8;72.8;9.099276877448907e+35
39;-16697;4;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;98.0;93.80000000000001;96.89823013789619;9.099276877448907e+35
40;-16667;5;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;198.0;203.4;199.4165612512763;9.099276877448907e+35
41;-16636;6;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;244.10000000000002;259.0;248.00865974889206;9.099276877448907e+35
42;-16606;7;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;114.80000000000001;111.30000000000001;113.88185844824685;9.099276877448907e+35
43;-16575;8;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;118.0;113.7;116.87199752213182;9.099276877448907e+35
44;-16544;9;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;308.5;326.70000000000005;313.27433606911643;9.099276877448907e+35
45;-16514;10;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;124.80000000000001;131.70000000000002;126.61005048774197;9.099276877448907e+35
46;-16483;11;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;99.80000000000001;91.5;97.62269289155678;9.099276877448907e+35
47;-16453;12;1904;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;76.10000000000001;67.4;73.81776242849928;9.099276877448907e+35
48;-16422;1;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;95.9;93.7;95.32288245318372;9.099276877448907e+35
49;-16391;2;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;55.800000000000004;50.7;54.46213659601682;9.099276877448907e+35
50;-16363;3;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;73.4;72.7;73.21637168964938;9.099276877448907e+35
51;-16332;4;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;106.2;102.80000000000001;105.30809106401121;9.099276877448907e+35
52;-16302;5;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;217.70000000000002;213.70000000000002;216.65069536942497;9.099276877448907e+35
53;-16271;6;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;175.8;181.5;177.29525909856943;9.099276877448907e+35
54;-16241;7;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;121.9;127.30000000000001;123.31656125127631;9.099276877448907e+35
55;-16210;8;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;151.6;152.0;151.7049304630575;9.099276877448907e+35
56;-16179;9;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;162.4;169.10000000000002;164.1575852562132;9.099276877448907e+35
57;-16149;10;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;140.9;140.1;140.69013907388498;9.099276877448907e+35
58;-16118;11;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;92.4;84.2;90.24892550732115;9.099276877448907e+35
59;-16088;12;1905;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;86.0;81.7;84.87199752213182;9.099276877448907e+35
60;-16057;1;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;70.60000000000001;67.7;69.8392541428331;9.099276877448907e+35
61;-16026;2;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;54.800000000000004;51.900000000000006;54.039254142833094;9.099276877448907e+35
62;-15998;3;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;83.80000000000001;90.5;85.5575852562132;9.099276877448907e+35
63;-15967;4;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;121.80000000000001;116.0;120.27850828566619;9.099276877448907e+35
64;-15937;5;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;195.8;193.10000000000002;195.09171937436184;9.099276877448907e+35
65;-15906;6;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;212.60000000000002;225.4;215.95777481784017;9.099276877448907e+35
66;-15876;7;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;127.2;124.9;126.59664983741935;9.099276877448907e+35
67;-15845;8;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;152.3;151.9;152.1950695369425;9.099276877448907e+35
68;-15814;9;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;202.60000000000002;205.10000000000002;203.25581539410942;9.099276877448907e+35
69;-15784;10;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;125.60000000000001;124.4;125.28520861082748;9.099276877448907e+35
70;-15753;11;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;111.60000000000001;109.5;111.04911506894811;9.099276877448907e+35
71;-15723;12;1906;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;73.9;64.7;71.48659934967739;9.099276877448907e+35
72;-15692;1;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;60.7;55.300000000000004;59.28343874872368;9.099276877448907e+35
73;-15661;2;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;61.900000000000006;56.900000000000006;60.58836921178119;9.099276877448907e+35
74;-15633;3;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;53.300000000000004;48.800000000000004;52.119532290603075;9.099276877448907e+35
75;-15602;4;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;90.7;82.60000000000001;88.57515812308553;9.099276877448907e+35
76;-15572;5;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;256.3;257.40000000000003;256.5885587734081;9.099276877448907e+35
77;-15541;6;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;136.6;141.3;137.83293294092567;9.099276877448907e+35
78;-15511;7;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;159.70000000000002;163.60000000000002;160.72307201481067;9.099276877448907e+35
79;-15480;8;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;117.60000000000001;113.4;116.4982301378962;9.099276877448907e+35
80;-15449;9;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;139.70000000000002;138.5;139.3852086108275;9.099276877448907e+35
81;-15419;10;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;128.6;125.4;127.76055629553994;9.099276877448907e+35
82;-15388;11;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;85.10000000000001;77.10000000000001;83.00139073884992;9.099276877448907e+35
83;-15358;12;1907;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;65.10000000000001;56.5;62.84399504426365;9.099276877448907e+35
84;-15327;1;1908;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;83.4;78.80000000000001;82.1932996748387;9.099276877448907e+35
85;-15296;2;1908;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;61.300000000000004;57.5;60.3031606009537;9.099276877448907e+35
86;-15267;3;1908;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;67.0;64.0;66.21302152706872;9.099276877448907e+35
87;-15236;4;1908;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;104.60000000000001;99.4;103.23590398025244;9.099276877448907e+35
