index;time;month;year;day;Christ_Church;Saint_James;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Saint_Andrew;Saint_Lucy;Saint_Joseph;Saint_Michael;BRB;Saint_Thomas
0;-17883;1;1901;15;24.88715174005505;24.900000000000002;24.803732257586685;24.900000000000002;24.85882183694032;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.881035607088226;24.900000000000002
1;-17852;2;1901;15;25.08715174005505;25.1;25.003732257586684;25.1;25.058821836940318;25.1;25.1;25.1;25.1;25.1;25.081035607088225;25.1
2;-17824;3;1901;15;25.28715174005505;25.3;25.203732257586687;25.3;25.25882183694032;25.3;25.3;25.3;25.3;25.3;25.281035607088224;25.3
3;-17793;4;1901;15;25.874303480110093;25.900000000000002;25.70746451517337;25.900000000000002;25.81764367388064;25.900000000000002;25.900000000000002;25.900000000000002;25.900000000000002;25.900000000000002;25.862071214176453;25.900000000000002
4;-17763;5;1901;15;26.748606960220183;26.8;26.414929030346734;26.8;26.63528734776127;26.8;26.8;26.8;26.8;26.8;26.7241424283529;26.8
5;-17732;6;1901;15;26.53575870027523;26.6;26.118661287933417;26.6;26.39410918470159;26.6;26.6;26.6;26.6;26.6;26.50517803544112;26.6
6;-17702;7;1901;15;26.26145522016514;26.3;26.01119677276005;26.3;26.176465510820954;26.3;26.3;26.3;26.3;26.3;26.243106821264675;26.3
7;-17671;8;1901;15;26.64860696022019;26.700000000000003;26.314929030346732;26.700000000000003;26.535287347761273;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;26.624142428352897;26.700000000000003
8;-17640;9;1901;15;26.66145522016514;26.700000000000003;26.41119677276005;26.700000000000003;26.576465510820956;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;26.643106821264674;26.700000000000003
9;-17610;10;1901;15;26.38715174005505;26.400000000000002;26.303732257586685;26.400000000000002;26.35882183694032;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.38103560708823;26.400000000000002
10;-17579;11;1901;15;26.16145522016514;26.200000000000003;25.911196772760054;26.200000000000003;26.076465510820956;26.200000000000003;26.200000000000003;26.200000000000003;26.200000000000003;26.200000000000003;26.143106821264677;26.200000000000003
11;-17549;12;1901;15;25.474303480110095;25.5;25.30746451517337;25.5;25.417643673880637;25.5;25.5;25.5;25.5;25.5;25.46207121417645;25.5
12;-17518;1;1902;15;24.88715174005505;24.900000000000002;24.803732257586685;24.900000000000002;24.85882183694032;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.881035607088226;24.900000000000002
13;-17487;2;1902;15;25.08715174005505;25.1;25.003732257586684;25.1;25.058821836940318;25.1;25.1;25.1;25.1;25.1;25.081035607088225;25.1
14;-17459;3;1902;15;25.08715174005505;25.1;25.003732257586684;25.1;25.058821836940318;25.1;25.1;25.1;25.1;25.1;25.081035607088225;25.1
15;-17428;4;1902;15;25.674303480110098;25.700000000000003;25.507464515173368;25.700000000000003;25.617643673880636;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003;25.662071214176454;25.700000000000003
16;-17398;5;1902;15;26.448606960220186;26.5;26.114929030346733;26.5;26.335287347761273;26.5;26.5;26.5;26.5;26.5;26.424142428352894;26.5
17;-17367;6;1902;15;26.435758700275233;26.5;26.018661287933416;26.5;26.29410918470159;26.5;26.5;26.5;26.5;26.5;26.405178035441118;26.5
18;-17337;7;1902;15;26.348606960220188;26.400000000000002;26.014929030346735;26.400000000000002;26.235287347761272;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.3241424283529;26.400000000000002
19;-17306;8;1902;15;26.56145522016514;26.6;26.31119677276005;26.6;26.476465510820955;26.6;26.6;26.6;26.6;26.6;26.543106821264672;26.6
20;-17275;9;1902;15;26.56145522016514;26.6;26.31119677276005;26.6;26.476465510820955;26.6;26.6;26.6;26.6;26.6;26.543106821264672;26.6
21;-17245;10;1902;15;26.374303480110097;26.400000000000002;26.20746451517337;26.400000000000002;26.31764367388064;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.362071214176453;26.400000000000002
22;-17214;11;1902;15;26.06145522016514;26.1;25.811196772760052;26.1;25.976465510820955;26.1;26.1;26.1;26.1;26.1;26.043106821264676;26.1
23;-17184;12;1902;15;25.474303480110095;25.5;25.30746451517337;25.5;25.417643673880637;25.5;25.5;25.5;25.5;25.5;25.46207121417645;25.5
