index;time;month;year;day;La_Vega;Monte_Cristi;San_Jose_de_Ocoa;Espaillat;Bahoruco;DOM;Santiago;La_Altagracia;Valverde;Samana;Dajabon;Pedernales;Independencia;La_Estrelleta;Sanchez_Ramirez;Santo_Domingo;Barahona;Monte_Plata;Maria_Trinidad_Sanchez;San_Cristobal;Monsenor_Nouel;San_Pedro_de_Macoris;Salcedo;La_Romana;San_Juan;Santiago_Rodriguez;Hato_Mayor;Peravia;Distrito_Nacional;Puerto_Plata;Duarte;El_Seybo;Azua
0;-17883;1;1901;15;18.313693730878928;22.993991174667713;18.870059730167952;21.847817986492895;20.553550476257843;21.15545377661736;18.96751000517102;23.15520699054773;21.691422120952517;22.89969265323781;21.44958431161806;22.024554827425227;20.451464851847305;20.012104070880266;21.47513178820886;22.28262651560812;21.889135408992605;22.14153603843123;22.608122188994756;21.754225906567456;20.124804271171588;22.90612441223481;21.843217021136365;23.158313866573224;19.154381262006737;17.754008837750327;22.662757367153908;23.185503940393325;23.26408954028517;22.358090457735987;22.07342980809793;22.64673871343185;18.733805605598164
1;-17852;2;1901;15;18.81948446926138;23.51639470480063;19.45264846762803;22.349022656586286;21.180190504174362;21.67150633990167;19.42444063008568;23.60301251901195;22.26173559490251;23.39969265323781;21.927684034502562;22.546387098226194;21.046477749082655;20.512104070880266;22.058699260079752;22.80214143103107;22.539875757356622;22.649710076083498;23.143339958142526;22.26554884540182;20.720696941334975;23.26946180578927;22.42730401878788;23.572335801538998;19.721960151251928;18.263866791948153;23.01613629503991;23.59139073953084;23.764091230831852;22.948715039378932;22.642161881203577;22.987383410968814;19.2971582205682
2;-17824;3;1901;15;19.6729362748144;24.538798234933545;20.14503447010739;23.349022656586286;21.935728803585356;22.41850553481902;20.36560499640416;24.044049780842528;23.293391999289568;23.948013155007793;22.82914127914386;23.225647785201378;21.710077618444352;21.349674104367985;22.92284424757587;23.423596913821402;23.157724722343577;23.283962770280624;23.892769541346404;22.932414577702186;21.529220284868956;23.810643789817078;23.42730401878788;24.053731307738957;20.579100463220882;19.093490998199886;23.601112277716148;24.103040589563516;24.297623844992483;23.96881317009689;23.51947059313859;23.58301884069335;19.95402961885734
3;-17793;4;1901;15;20.56302512897917;25.26120176506646;20.82691081998159;24.211909722347503;22.54925471336298;23.07863153988929;21.236082333771026;24.693022379440727;24.07487541834264;24.59279025226043;23.326740661276734;23.612691028759652;22.136896947866582;21.802276727418914;23.762968881690806;23.96624572366654;23.64006712613142;23.847206405256316;24.6431950682553;23.54365839923576;22.280006286417716;24.39308839310589;24.39547801409091;24.70330815353654;21.313081310326183;19.80319792142294;24.199032538825826;24.597648783395396;24.79762722608584;24.698286719171907;24.456934739349887;24.178654270417884;20.55621101010022
4;-17763;5;1901;15;21.15667795423492;26.322403530132917;21.40838487132184;24.9005756918495;23.187414147842393;23.846122136195508;21.879361400441113;25.79741132251228;25.031787430926716;25.396210718072897;24.25494572985235;24.413779237159286;22.99284558774422;22.63984676090663;24.21954078596002;24.677329124977042;24.34000333653982;24.57948173095655;25.359691398851837;24.032572812303762;22.732727932999733;25.301524399419346;24.85913002348485;25.743719881665587;21.917763078343683;20.63282212767467;25.15247438657936;25.203040589563518;25.597620463899123;25.62910756225078;24.951333624911058;25.248497487830992;21.29324137456704
5;-17732;6;1901;15;21.650887215852475;26.81639470480063;21.840896086518935;25.404805664709524;23.534366278640807;24.1975966018222;22.44994358360035;25.73992777511303;25.462657059491587;25.647890216302915;24.885660888268216;24.771919423161517;23.47101336108664;23.222312553222988;24.62173817969553;24.92191850218956;24.622250055940263;24.830860772252237;25.687978679129824;24.399359427303338;23.207239600237504;25.499159583711332;25.275043025833334;25.74237818312014;22.29713620938061;21.11315656293728;25.36749840390312;25.40341183429056;25.731154768606437;26.15943775173984;25.290583085756676;25.34327982219301;21.6131887895762
6;-17702;7;1901;15;21.53050848782021;27.03879823493354;21.726709670714616;25.387648242208385;23.738915372431077;24.25174690825568;22.422535621318822;25.82850362806578;25.622241393492708;25.65131068211539;24.935189201655298;25.00338483484148;23.551477846859385;23.23984676090663;24.577517521454595;24.94298075137659;24.931907271827058;24.805562829801865;25.659624649612688;24.432493695002975;23.109447607086185;25.532115815259452;25.275043025833334;25.831611695187124;22.43468686583972;21.232822127674673;25.374319179542653;25.603040589563513;25.864094611925204;26.219732143893726;25.259910263740426;25.381289395073928;21.591980583741055
7;-17671;8;1901;15;22.361354798049504;27.622403530132917;22.517113554962307;26.12468040868737;24.326471734003462;24.9454468110559;23.249943583600352;26.57657609387206;26.36834767299368;26.34789021630291;25.434612169351265;25.503384834841484;24.051464851847303;23.77491517627391;25.32173817969553;25.64492131874397;25.431971061418654;25.535336926975386;26.387978679129823;25.188036488468974;23.896626269739876;26.255742402576075;25.975043025833333;26.562584047184664;23.119101195661056;21.932721440358154;26.14080893996012;26.291885732500226;26.497625535539157;26.990258594818712;25.990583085756676;26.176019145761835;22.2786465537298
8;-17640;9;1901;15;22.226388080367425;27.583605295199376;22.368104614078142;26.2506160757294;24.19623292434446;24.856046265797715;23.04803857483349;26.375409023738086;26.31747224457969;26.39614924872046;25.38315079842797;25.391570527786698;24.051458354341264;23.722312553222988;25.392843981703358;25.619977934822177;25.404432985749114;25.517429865782344;26.508191787589844;25.043816633837338;23.82653061619948;26.14730639626262;26.175043025833332;26.382034849389548;22.85775217375796;21.662446333926404;26.00239110953034;26.103288086048213;26.497623844992482;27.00900943153282;26.15991026374043;25.98128939507393;22.139134703148336
9;-17610;10;1901;15;21.263025128979173;26.538798234933545;21.45104954533116;25.31509656063373;23.034134092009356;23.895649478081406;22.077456391674254;25.566898074937033;25.22237608225959;25.644408281138002;24.435189201655305;24.292985683147162;22.90281329576749;22.739846760906634;24.469929696202506;24.773841223845583;24.079605772289007;24.703998959312443;25.698259226840133;24.05521868997249;22.909601949016565;25.26249697726579;25.19095602818182;25.531611695187124;21.881594712661894;20.732822127674673;25.137283815157563;25.01481418783855;25.631151387513082;25.978188588453946;25.252523834667272;25.085653965349394;21.22379052235297
