index;time;month;year;day;La_Vega;Monte_Cristi;San_Jose_de_Ocoa;Espaillat;Bahoruco;DOM;Santiago;La_Altagracia;Valverde;Samana;Dajabon;Pedernales;Independencia;La_Estrelleta;Sanchez_Ramirez;Santo_Domingo;Barahona;Monte_Plata;Maria_Trinidad_Sanchez;San_Cristobal;Monsenor_Nouel;San_Pedro_de_Macoris;Salcedo;La_Romana;San_Juan;Santiago_Rodriguez;Hato_Mayor;Peravia;Distrito_Nacional;Puerto_Plata;Duarte;El_Seybo;Azua
0;-17883;1;1901;15;150.16697506782614;137.21178667215;122.45488847664808;247.7211834248774;56.165211879124676;126.76418383623867;166.89875658168995;89.46682629586749;183.4927610269728;182.55715543426285;79.76611953451976;84.33083417202354;58.189961183634665;57.515838239327664;176.7725850474832;134.71558385641683;67.69752465746144;139.25445693931627;217.87439710248694;112.78410890442733;150.2450371457322;125.17021236830742;207.73744301265134;99.76773409682829;69.13303822036836;113.62372255281194;132.4196414002239;72.21092925866431;140.12981256584607;244.710812970461;205.52952951832293;113.85411222837091;115.56937973599669
1;-17852;2;1901;15;20.17637695007193;25.427298843721644;10.350388121176088;43.93776227057608;4.781799096186697;16.301670531725804;25.861775085857705;9.835274743953763;30.567563051418908;24.597407554058417;16.49972305518649;6.4811995905417135;3.877489887116538;10.407407992795095;23.19621725744446;12.162330609602519;4.267839154523997;14.32983602990513;33.64247126872218;9.098921364419192;15.353580398204283;12.42620326243669;34.34173049318177;10.153645048120055;8.745591599910812;19.3041628849957;15.80587264904262;4.380068924911185;10.673523157354776;40.67814907064361;30.511515584078015;13.0106147640314;7.701012232445767
2;-17824;3;1901;15;54.57503831048575;53.52121302555116;43.251442604939854;87.10117734896441;45.962723174639976;59.38763290873923;67.46405592177885;54.79886556628407;72.51481955264767;75.46812015463728;46.80921203562769;74.31546626075722;62.752532470387735;54.452667746509434;57.68197765612032;56.59139241598055;52.010109754504526;55.90523526369639;79.45973015269288;41.99388137279004;48.47663700962117;67.39483854891081;67.39920188537872;59.15295005209715;45.52637731122661;60.33990417937198;65.5157491827701;37.734983315276615;68.29284612549958;92.39892034626865;67.97362869640995;60.942165987088174;49.5086562873022
3;-17793;4;1901;15;109.33984378225256;73.49821424312736;94.13161331472082;122.81787168811233;84.58435683773587;100.48203731855476;119.3163219885583;99.83978890702002;102.28540266586417;135.7643514083596;80.35789099699747;61.352697507627404;97.7019559884015;111.8817964057364;111.05912970688932;97.67432574380805;57.11965414427864;107.15934822827313;125.90809559222294;78.78762339558622;105.38292725803291;108.8772905292463;114.68912529356058;93.89441818150686;100.96556476983582;108.2622458298632;130.12664782898372;46.47103460863355;84.95528429809305;114.91303538151399;117.22194730211922;127.88316072950725;85.15321704528363
4;-17763;5;1901;15;233.1862915753824;126.27151065169659;234.6071741347459;194.60452189608898;213.65063815857394;215.31819161683003;224.05668380432488;177.2271918644216;157.00145677158693;225.6331723978387;201.14592362185513;258.018640834464;262.07568292758;244.0660842571849;246.2536660691413;234.21247325853125;223.90049880030278;232.19075366476434;228.66607305289975;233.57660659341857;242.60298583137103;214.11668309922288;236.60159622924263;189.92748148520258;209.0003054367206;231.98391118597166;201.01763901613117;220.57282435185013;235.8138111854866;143.77113495182678;249.6235863786855;187.04674455344002;225.96213950495576
5;-17732;6;1901;15;243.05294767720838;166.46788283552786;269.26625283193073;180.7669726133516;315.89883512217517;256.0193235137927;228.2662613327611;191.1230464196311;167.735890730148;229.6117540061586;325.42293933012326;320.24962029391924;378.1296594142576;369.67727746346696;247.24606734714757;251.87116336249156;315.83996908676954;261.8379800238538;229.35801099450126;253.3149830942603;257.2157982271306;247.31416755412158;222.338116323182;203.71330920373612;294.9634592213561;295.76826002259844;255.42440390314923;247.33253588055626;231.09102575441779;131.5844574544381;243.2130894502936;246.98587603390126;272.0977159319484
6;-17702;7;1901;15;140.26792536009575;58.5601652461611;204.78744411736233;156.35476260956042;191.99638288643214;171.53871703548455;111.62246483206278;154.24264545562255;73.30537873253667;192.93992059132265;145.0787306943629;199.40161198717766;208.52585666864098;182.54494084244627;226.84806981640574;210.47911699932627;208.58698870337986;210.85848741712363;204.23671762622092;239.1789862345669;226.90549890551043;196.2326992354505;204.7160227036365;168.1784058414505;164.80630309355897;124.28039422937508;192.1425000679406;227.3794794421972;200.2319898986654;79.45589756929517;221.36114558562127;179.39143929226827;169.9982951278432
7;-17671;8;1901;15;56.417817009905036;40.07485118692728;65.11449451487002;63.38759064221959;84.44824219808889;73.436213863876;57.46303564189311;68.97391791635107;47.332519297109926;82.39701386622873;74.65121859070793;107.68091271852091;103.74427369248195;92.71773144987928;70.80035852613057;74.59462358605259;89.35231597621278;74.25685982989023;81.50719337623926;76.49461669418443;65.80355008009776;83.87198864609216;68.52260992954547;73.90138996481609;76.58936645875092;71.40704995148117;81.9137892463709;87.90545575595358;81.40932706135122;47.827217258973235;76.31295131553937;74.12319670859637;67.50294210940692
8;-17640;9;1901;15;159.93267180812424;106.51913998774043;194.78753006936955;116.59101901041934;247.11786907653908;191.5164347940762;152.74927199589504;173.54830270055672;117.49587222347058;167.83103839020757;205.42403694858953;268.02642281627567;297.55819780855467;258.8697479756633;166.15859221704164;189.7956133127978;249.77643268243418;192.25419926475715;154.40855097394916;201.97406819943495;182.60486989903532;207.9744236901558;137.16897210992437;181.92097670327234;223.1502791751417;197.16960545442322;212.50813412744344;216.17194451870736;183.82522711146544;101.04831481378295;153.15783216059012;208.87327605776395;199.6449983128989
9;-17610;10;1901;15;205.5251860205902;154.41913998774044;227.4058197909151;185.40003705813965;263.7705620687247;225.33707603981568;203.193644588976;210.7311783668871;169.7653195044531;203.687233717809;216.16659477806408;266.91998071870535;298.6030780097015;256.1087205518087;213.44263066587422;226.04170829008444;263.888308524525;232.05276856849468;197.51260711583984;229.45289250722215;225.36862904920093;245.38467885847643;195.0152245890152;215.76800156170628;245.94037079453335;225.58019572028115;258.7600245896844;225.45590298714936;211.7258452917852;166.22908143186618;200.70179320392296;261.7469382313511;226.06113818679174
