index;time;month;year;day;Le_Marin;MTQ;Fort-de-France;Saint-Pierre;Le_Trinite
0;-17883;1;1901;15;157.8700142946996;194.76993396553246;214.7600155864633;234.20000000000002;203.8285374021274
1;-17852;2;1901;15;112.15072425851928;130.971962196511;141.1406076442428;151.0;135.65263812704856
2;-17824;3;1901;15;102.37713547120013;122.97299523673138;134.12817030540666;144.9;128.0744484843478
3;-17793;4;1901;15;126.63537530162085;147.72232338281174;159.30697060338437;169.8;153.06048447925346
4;-17763;5;1901;15;174.83585328741964;193.01988000509425;203.42031906479582;211.10000000000002;197.9249891215927
5;-17732;6;1901;15;217.84162608169154;236.62532261712892;247.1023540198103;256.1;241.4003426894268
6;-17702;7;1901;15;287.74437198976295;322.7147710330811;341.9821264110609;359.8;331.2813521224855
7;-17671;8;1901;15;279.05089691834013;291.1406134384266;297.7691572975651;303.7;294.26167182400735
8;-17640;9;1901;15;285.38855614037317;306.57495711517583;318.4631892728024;328.5;311.9449853615422
9;-17610;10;1901;15;296.54966970882725;324.6429266977942;340.16136702765186;354.0;331.74000910289254
10;-17579;11;1901;15;327.5934899254584;373.8022428089935;399.6254674230296;421.6;385.58298492344704
11;-17549;12;1901;15;200.09967552495456;240.0663507608566;261.7139412067687;282.7;249.91982143663083
12;-17518;1;1902;15;108.78483803955984;132.31278565585856;144.95536851754042;157.4;138.1732542711668
13;-17487;2;1902;15;57.499931126195605;65.17010900438059;69.39955968138676;73.10000000000001;67.15819267699825
14;-17459;3;1902;15;104.1035925558375;124.12132998364885;134.9590434931904;145.3;129.1541384952239
15;-17428;4;1902;15;86.4551465975402;101.09797420951402;109.1525741791169;116.30000000000001;104.86938066498972
16;-17398;5;1902;15;394.3251509370758;441.15804259861466;467.7729237292615;488.1;453.6778356683424
17;-17367;6;1902;15;381.3687273184194;416.8692024003557;436.20194418654586;454.40000000000003;425.75004160443234
18;-17337;7;1902;15;346.4509491779329;374.38954372889;389.5530754684278;404.0;381.36577811400775
19;-17306;8;1902;15;246.94019310803304;259.5282045456794;266.5972666322741;272.3;262.85454416046434
20;-17275;9;1902;15;235.31872881136553;247.91448394080183;254.99588470573676;260.8;251.18103982481708
21;-17245;10;1902;15;182.2202913917312;194.00723677182708;200.67606693025184;206.10000000000002;197.02268574286956
22;-17214;11;1902;15;444.8190877619636;496.3130920557993;524.9909192595959;549.5;509.53647746038916
23;-17184;12;1902;15;207.57396843382924;245.91110145575846;266.64896017416453;286.90000000000003;255.3264359450738
24;-17153;1;1903;15;69.88267533859043;81.00872370370878;87.07468500371448;92.60000000000001;83.88133512909648
25;-17122;2;1903;15;95.49988414243244;110.99957324585374;119.4387549137434;127.60000000000001;114.76132333039129
26;-17094;3;1903;15;43.25304522251083;49.5967764462945;53.05439642426749;56.400000000000006;51.12957275801368
27;-17063;4;1903;15;323.2059778173045;383.3361301574878;416.34164070821333;446.3;398.5686116412199
28;-17033;5;1903;15;109.68188271711678;119.93439036775618;125.87145034667773;129.8;122.83948184054282
29;-17002;6;1903;15;381.2795551076717;408.24862419817305;423.2244953297567;436.1;415.19978321341716
30;-16972;7;1903;15;254.71532310813132;278.2270562656307;290.85260466446573;303.5;283.9775375248721
31;-16941;8;1903;15;445.5440602900807;478.02689531021826;495.87889175402415;512.1;486.2114615589305
32;-16910;9;1903;15;286.4716797212064;301.4724431868934;309.95810188526633;316.70000000000005;305.39918683257974
33;-16880;10;1903;15;197.34286734248363;214.71447887450773;224.30788172595967;232.9;219.08670475076565
34;-16849;11;1903;15;185.14684244571123;201.62865598713597;210.94842839950485;218.4;205.9231254267986
35;-16819;12;1903;15;233.54729912996214;278.2585404903116;302.39921081881994;326.3;289.1342519055203
36;-16788;1;1904;15;223.09914197573;268.6420204265856;293.2499017820886;317.1;279.969712148344
37;-16757;2;1904;15;107.1006934974069;128.0438321124285;139.34937000742894;150.4;133.21912988319258
38;-16728;3;1904;15;150.70662228436058;181.81553249518157;198.60147338258378;215.0;189.51950443092161
39;-16697;4;1904;15;73.58212638611772;86.15956695752196;93.06639344449037;99.2;89.41466315271276
40;-16667;5;1904;15;175.44059683292537;192.6739301090629;202.6299925505573;209.60000000000002;197.38305984612413
41;-16636;6;1904;15;86.64492831234396;89.14200179168863;90.61429006933554;91.4;89.91428860498371
42;-16606;7;1904;15;272.0214614497483;292.4737273457313;303.577479342138;314.40000000000003;297.44281588214926
43;-16575;8;1904;15;230.78970895285605;242.0215425343141;248.32537596698316;253.8;244.78339785942072
44;-16544;9;1904;15;422.4977472878256;451.8470055938004;468.1023845051591;482.6;459.19299644931016
45;-16514;10;1904;15;266.6256051083995;294.1327932768812;309.2120579909205;323.0;301.0768094050908
46;-16483;11;1904;15;107.82049645446938;115.7936493421859;120.26039493437894;125.0;117.29900770848849
47;-16453;12;1904;15;155.74629552325698;181.85982700898418;196.03740347255484;209.8;188.2343485296271
48;-16422;1;1905;15;120.75284292800194;147.89178823347598;162.45307546842776;176.9;154.6248215890072
49;-16391;2;1905;15;74.45918375317876;86.4641505550313;92.98621121997532;99.5;89.28842406591008
50;-16363;3;1905;15;138.14384188268698;166.5582510786541;181.8968567990097;196.8;173.62864524734456
51;-16332;4;1905;15;105.72765443103985;122.85152321885386;132.3120275055717;140.6;127.25592583270762
52;-16302;5;1905;15;107.55488059031124;118.39796201453476;124.6138497507223;129.1;121.35831824135742
53;-16271;6;1905;15;204.28467895748264;216.86783988343;223.89726663227415;229.60000000000002;220.23148204796425
54;-16241;7;1905;15;173.72084899664125;183.87396142593428;189.42675789352052;194.8;186.2967111981925
55;-16210;8;1905;15;225.8581141765243;239.51968175033343;247.05671995872893;253.9;242.9193672750567
56;-16179;9;1905;15;346.7666700978891;369.1477476292105;381.6042067503097;392.3;374.88007829545944
57;-16149;10;1905;15;382.6410836529787;422.5770647173035;444.4996511374332;464.70000000000005;432.5271586160235
58;-16118;11;1905;15;349.14217586950315;389.09607169064526;411.3415797375157;430.3;399.3934469839541
59;-16088;12;1905;15;94.68634436683209;108.71770755998352;116.34704647296749;123.9;112.04464592865013
60;-16057;1;1906;15;104.76639284056857;123.58135064914822;133.79406246058616;143.4;128.345346172417
61;-16026;2;1906;15;79.8809671639592;91.88075907047599;98.40602899546028;105.30000000000001;94.48907473223267
62;-15998;3;1906;15;84.24368139708473;100.71031728517406;109.60788172595966;118.2;104.82268611326501
63;-15967;4;1906;15;128.47880690219964;149.89373072971134;161.70697060338438;172.20000000000002;155.3514891386286
64;-15937;5;1906;15;151.27272888461718;166.0184336778953;174.54657566900545;180.3;170.15228889264165
65;-15906;6;1906;15;279.9610033472008;301.3643116370276;313.1590434931904;323.5;306.91174564209956
66;-15876;7;1906;15;272.9359407592248;297.4995919985353;310.72173147668195;323.8;303.5465555889961
67;-15845;8;1906;15;284.2470922807149;298.6497815022948;306.76086573834095;313.3;302.4231333913742
68;-15814;9;1906;15;431.20682010037865;464.57806187439536;482.9212911580687;499.70000000000005;472.9213026191203
69;-15784;10;1906;15;256.6737763016733;277.39226236392074;288.9687169789519;298.6;282.79670611975627
70;-15753;11;1906;15;304.6174393002296;336.0899692220046;353.7530754684278;368.20000000000005;344.31553744213466
71;-15723;12;1906;15;117.15995425706248;139.3762100483708;151.33831459513016;163.20000000000002;144.82343991676396
72;-15692;1;1907;15;101.7934603795585;120.99864617411349;131.38991668097412;141.3;125.84023999672496
73;-15661;2;1907;15;73.94058565391408;87.07473753060121;94.17930158728858;101.2;90.25554369079842
74;-15633;3;1907;15;98.0621425688289;116.78342840097334;126.91802601568315;136.6;121.48574431755642
75;-15602;4;1907;15;107.79191512304114;125.02568365507406;134.5627184688404;142.8;129.49779756615635
76;-15572;5;1907;15;178.5995567178382;197.19304851901882;207.87101002806446;215.5;202.28351147691652
77;-15541;6;1907;15;143.2957950397621;151.29723566328533;155.77559612628977;159.4;153.42803366310895
78;-15511;7;1907;15;239.68870805591328;258.14426544172466;268.1433714973175;277.8;262.70988592959327
79;-15480;8;1907;15;203.4687756917757;212.60006793866367;217.77145034667774;221.70000000000002;215.0792908436673
80;-15449;9;1907;15;206.9890988942605;217.24318830623258;223.0378133058193;227.60000000000002;219.95900365212162
81;-15419;10;1907;15;318.92665828528;348.39545679623814;364.70376643169647;379.1;355.87291227558245
82;-15388;11;1907;15;197.37144359283604;215.34160045321815;225.48806395047473;233.70000000000002;219.99236930631886
83;-15358;12;1907;15;215.17694225477834;259.4739024679263;283.3005927453573;307.1;270.28086648804236
84;-15327;1;1908;15;93.94157318201137;113.68890937075744;124.30835252992172;134.70000000000002;118.627673593025
85;-15296;2;1908;15;22.755875634685797;26.34730192741602;28.275125322327717;30.1;27.284673508348284
86;-15267;3;1908;15;44.30465038983842;52.330647823151494;56.668686493603026;60.800000000000004;54.364435894246895
87;-15236;4;1908;15;118.34334502883252;137.50302962908347;148.09959016673557;157.3;142.4585017181319
88;-15206;5;1908;15;58.671722243313056;62.310825548944365;64.51152621626085;65.5;63.462112233689425
89;-15175;6;1908;15;228.2186072116287;242.87442284601792;251.0286106240199;258.1;246.5943412167255
90;-15145;7;1908;15;299.28678201481904;319.9022392914253;331.1479880808916;342.3;324.72122337567066
91;-15114;8;1908;15;171.4780358365426;178.0940734376837;181.85854220387955;184.9;179.76539632745616
92;-15083;9;1908;15;272.00536570132425;289.7886906267171;299.6276995014446;308.6;294.1488864733383
93;-15053;10;1908;15;187.66697801165043;200.82186892923903;208.2157024812217;214.4;204.16886750988968
94;-15022;11;1908;15;121.80832727027627;131.95361669315616;137.68988619562532;142.1;134.69361419309257
95;-14992;12;1908;15;357.1753677919126;427.4401861576872;465.39421488733024;502.5;444.76134322495744
96;-14961;1;1909;15;146.32738467316236;172.60998887438762;186.75998510111452;200.70000000000002;179.10641003911894
97;-14930;2;1909;15;123.76505763259502;152.98757901101976;168.89271101939767;184.10000000000002;160.18373006852804
98;-14902;3;1909;15;101.80467907319661;121.90218678818536;132.78162512175004;143.3;126.88256336096607
99;-14871;4;1909;15;125.77282984323848;146.11476174578448;157.28715282789943;167.4;151.27265679418085
100;-14841;5;1909;15;170.79807612537078;185.87990798800914;194.54104796285606;200.70000000000002;190.02497030630224
101;-14810;6;1909;15;219.29191912608948;239.12584914133365;250.1954443871235;259.7;244.15846697369028
