index;time;month;year;day;VIR;Saint_John;Saint_Croix;Saint_Thomas
0;-17883;1;1901;15;258.3995792182383;263.1;253.4;268.00975117255825
1;-17852;2;1901;15;60.81746851522783;62.1;59.900000000000006;62.33326872086815
2;-17824;3;1901;15;103.43885922688898;106.2;101.2;107.35523557001372
3;-17793;4;1901;15;117.64874770179125;119.2;116.2;120.32191146703255
4;-17763;5;1901;15;200.4765003977306;203.70000000000002;197.60000000000002;205.6994461788699
5;-17732;6;1901;15;282.9398538582261;285.3;279.90000000000003;289.0767316711987
6;-17702;7;1901;15;403.13950156078727;402.5;401.20000000000005;408.32060998737677
7;-17671;8;1901;15;116.47523645277347;115.4;117.30000000000001;115.06675897018835
8;-17640;9;1901;15;356.50406060757933;356.20000000000005;355.3;359.66570671004115
9;-17610;10;1901;15;240.84630543340697;239.0;241.0;241.55484789522262
10;-17579;11;1901;15;381.76168442848353;379.3;381.40000000000003;384.1097788636148
11;-17549;12;1901;15;235.43974316074366;238.9;231.9;242.16576209215415
12;-17518;1;1902;15;233.1934097200507;242.9;225.20000000000002;247.26545749053258
13;-17487;2;1902;15;16.769057866962775;20.0;15.0;19.244653665760264
14;-17459;3;1902;15;74.04213705967877;75.5;72.9;76.01096957904453
15;-17428;4;1902;15;141.584859830718;147.9;136.8;149.71060959530996
16;-17398;5;1902;15;246.67561434401267;224.9;259.6;227.5103880668579
17;-17367;6;1902;15;543.292503551459;541.1;541.0;550.2641283198203
18;-17337;7;1902;15;182.69100574178634;177.3;185.60000000000002;178.66628822222776
19;-17306;8;1902;15;124.3172016821473;124.30000000000001;124.4;124.12227145076713
20;-17275;9;1902;15;229.0943435121879;231.9;226.8;233.12188377597602
21;-17245;10;1902;15;106.1793602229206;111.2;103.10000000000001;110.84454290153424
22;-17214;11;1902;15;244.3436611405148;234.70000000000002;249.70000000000002;236.76609438483223
23;-17184;12;1902;15;168.7289344014942;169.9;167.3;171.5773131833853
24;-17153;1;1903;15;69.72060719245503;76.7;65.2;76.7999723089435
25;-17122;2;1903;15;45.708255342588664;47.2;44.800000000000004;47.0778116224024
26;-17094;3;1903;15;61.33241380799773;67.10000000000001;57.5;67.42213299548459
27;-17063;4;1903;15;136.98436655147577;118.0;148.70000000000002;119.16634360434077
28;-17033;5;1903;15;165.63854824102145;175.0;159.10000000000002;176.31074805059245
29;-17002;6;1903;15;151.81827801197468;138.3;160.20000000000002;139.0331302655856
30;-16972;7;1903;15;330.24382809985883;333.6;326.3;338.0321056964949
31;-16941;8;1903;15;310.10393953714504;298.8;316.1;301.92135764590245
32;-16910;9;1903;15;162.8879331584605;160.10000000000002;164.70000000000002;160.04445982836472
33;-16880;10;1903;15;257.4180480702987;263.3;252.4;266.37692550859424
34;-16849;11;1903;15;163.95622613225748;169.8;159.9;170.55534633423974
35;-16819;12;1903;15;229.2267432714836;230.3;227.3;233.36581747426715
36;-16788;1;1904;15;105.84708850181897;100.0;109.30000000000001;100.74423829991267
37;-16757;2;1904;15;142.90852510700273;147.6;139.0;149.82160686541098
38;-16728;3;1904;15;130.92341954978403;131.3;130.0;132.98842121771236
39;-16697;4;1904;15;159.5315696067632;167.8;153.3;170.0882550713733
